chrom	intron_start_1based	intron_end	length	control	ris_low
12	2185773	3001667	815895	0	4
12	2235172	2890078	654907	0	3
12	2798714	2931597	132884	0	5
12	2803183	3093603	290421	6	0
12	2803352	3235182	431831	1	0
12	2803383	3540808	737426	3	0
12	2836957	2858011	21055	3	3
12	2840996	2857996	17001	0	1
12	2843369	2858011	14643	6	0
12	2843582	2858011	14430	3	0
12	2848237	2858011	9775	0	4
12	2857814	2857835	22	0	1
12	2857922	2858448	527	0	2
12	2857984	3029911	171928	0	3
12	2858585	2858897	313	2	0
12	2858844	2858875	32	0	4
12	2859564	2864319	4756	5	0
12	2859664	2861298	1635	0	3
12	2859664	2861378	1715	0	5
12	2859664	2864319	4656	118	104
12	2861413	2864319	2907	0	11
12	2863550	2863867	318	3	0
12	2864496	2864682	187	32	27
12	2864753	2864884	132	5	0
12	2864753	2865354	602	12	25
12	2864753	2866392	1640	12	16
12	2864753	2868562	3810	0	1
12	2864756	2865354	599	8	7
12	2864756	2866392	1637	4	0
12	2864946	2865354	409	5	8
12	2865400	2866392	993	26	34
12	2866425	2874096	7672	5	0
12	2866522	2868562	2041	37	37
12	2868755	2872095	3341	254	272
12	2868755	2872101	3347	2	3
12	2868755	2873976	5222	6	22
12	2868755	2876919	8165	5	0
12	2872245	2873952	1708	0	1
12	2872245	2873976	1732	98	60
12	2872245	2873978	1734	0	2
12	2872245	2873979	1735	0	3
12	2872248	2873976	1729	202	142
12	2873986	2874425	440	2	0
12	2874526	2876919	2394	122	61
12	2874526	2876921	2396	0	1
12	2876583	2885282	8700	3	0
