chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	ris_low_1	ris_low_2	ris_low_3
22	40011376	40928397	917022	0	0	0	0	2	0
22	40354702	41188662	833961	0	3	0	0	0	0
22	40365908	41254426	888519	5	0	0	0	0	0
22	40424225	41178420	754196	0	0	0	3	0	0
22	40425752	41356360	930609	0	1	0	0	0	0
22	40442025	40850830	408806	0	0	0	1	0	0
22	40498303	41245610	747308	0	0	0	0	0	1
22	40562651	40951332	388682	0	0	0	0	0	1
22	40615973	40971845	355873	0	0	0	0	0	1
22	40625349	41230787	605439	0	0	0	0	4	0
22	40653758	40937140	283383	0	0	0	0	0	5
22	40720140	41254465	534326	0	0	3	0	0	0
22	40742350	41519718	777369	0	0	0	0	4	0
22	40764366	40802746	38381	0	0	0	0	2	0
22	40770982	40773936	2955	0	2	1	0	0	8
22	40771139	41258686	487548	0	0	1	0	0	0
22	40774019	40777039	3021	0	0	1	0	0	0
22	40774020	40777039	3020	0	1	0	0	1	4
22	40777136	40777227	92	0	1	5	0	0	9
22	40777374	40779008	1635	5	2	4	2	0	0
22	40779126	40792524	13399	1	0	0	0	0	0
22	40792677	40794513	1837	4	4	0	4	5	2
22	40792677	40799022	6346	0	1	0	0	0	0
22	40794581	40799022	4442	9	6	0	2	9	7
22	40797337	40799022	1686	0	0	0	3	6	3
22	40799084	40819194	20111	17	10	10	7	29	14
22	40801832	40816308	14477	0	5	0	0	0	0
22	40817378	40819194	1817	4	5	0	0	0	0
