contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit
chx_dose	1	chr19:CLASRP:t:45068419|19:45068058-45068419:+	CLASRP	chr19:CLASRP:t:45068419	t	45068419	19:45068058-45068419:+	19	45068058	45068419	+	294.9	0.249	0.422	0.706	0.456	0.47	0.2272	ols_slope	2.8049394283675843e-05	0.005960932934062642	1	1
chx_dose	2	chr16:EIF3C:t:28723163|16:28721032-28723163:+	EIF3C	chr16:EIF3C:t:28723163	t	28723163	16:28721032-28723163:+	16	28721032	28723163	+	231.9	0.084	0.081	0.477	0.394	0.402	0.1927	ols_slope	0.007968211425690925	0.08798233449200395	0	1
chx_dose	3	chr19:AKAP8:t:15368322|19:15368322-15369066:-	AKAP8	chr19:AKAP8:t:15368322	t	15368322	19:15368322-15369066:-	19	15368322	15369066	-	110.8	0.054	0.233	0.399	0.345	0.352	0.167	ols_slope	6.529786741828243e-05	0.006921573946337937	1	1
chx_dose	4	chr11:HRAS:t:532755|11:532755-533276:-	HRAS	chr11:HRAS:t:532755	t	532755	11:532755-533276:-	11	532755	533276	-	385.7	0.084	0.291	0.361	0.277	0.272	0.1323	ols_slope	0.008873225213439579	0.09221194829652894	1	1
chx_dose	5	chr6:PSMG4:t:3267590|6:3264325-3267590:+	PSMG4	chr6:PSMG4:t:3267590	t	3267590	6:3264325-3267590:+	6	3264325	3267590	+	265.9	0.157	0.315	0.431	0.273	0.229	0.1333	ols_slope	0.00011928551060960009	0.009031617231869722	1	1
chx_dose	6	chr17:SNHG29:t:16440184|17:16439703-16440184:+	SNHG29	chr17:SNHG29:t:16440184	t	16440184	17:16439703-16440184:+	17	16439703	16440184	+	195.6	0.08	0.148	0.326	0.247	0.202	0.1227	ols_slope	0.002725898615103035	0.04815754220015362	1	1
chx_dose	7	chr17:CENPX:t:82019381|17:82019381-82019640:-	CENPX	chr17:CENPX:t:82019381	t	82019381	17:82019381-82019640:-	17	82019381	82019640	-	108.7	0.284	0.331	0.523	0.239	0.122	0.115	ols_slope	0.0066364035844581285	0.08374509285149544	1	1
chx_dose	8	chr1:ENSG00000233461:t:231522637|1:231522637-231527337:-	ENSG00000233461	chr1:ENSG00000233461:t:231522637	t	231522637	1:231522637-231527337:-	1	231522637	231527337	-	169.2	0.524	0.609	0.746	0.222	0.158	0.1121	ols_slope	0.002151390857213764	0.0456094861729318	1	1
chx_dose	9	chr18:TXNL4A:t:79973856|18:79973856-79977597:-	TXNL4A	chr18:TXNL4A:t:79973856	t	79973856	18:79973856-79977597:-	18	79973856	79977597	-	178.4	0.549	0.694	0.769	0.221	0.207	0.1123	ols_slope	0.0044905395783511074	0.06611072157016909	1	1
chx_dose	10	chr19:USF2:t:35270446|19:35270003-35270446:+	USF2	chr19:USF2:t:35270446	t	35270446	19:35270003-35270446:+	19	35270003	35270446	+	146.2	0.536	0.633	0.753	0.217	0.192	0.1212	ols_slope	0.0026520801753589143	0.04815754220015362	1	1
chx_high	1	chr19:AKAP8L:s:15399301|19:15398766-15399301:-	AKAP8L	chr19:AKAP8L:s:15399301	s	15399301	19:15398766-15399301:-	19	15398766	15399301	-	101.8	0.321		0.781	0.459	0.487		welch	0.001434261106284105	0.09369707094572077	1	1
chx_high	2	chr19:CLASRP:t:45068419|19:45068058-45068419:+	CLASRP	chr19:CLASRP:t:45068419	t	45068419	19:45068058-45068419:+	19	45068058	45068419	+	339.3	0.249		0.706	0.456	0.47		welch	0.00025424971917843573	0.024746972666701075	1	1
chx_high	3	chr16:EIF3C:t:28723163|16:28721032-28723163:+	EIF3C	chr16:EIF3C:t:28723163	t	28723163	16:28721032-28723163:+	16	28721032	28723163	+	240.5	0.084		0.477	0.394	0.402		welch	0.0016044018997554905	0.09369707094572077	1	1
chx_high	4	chr15:SNRPA1:t:101285801|15:101285801-101286907:-	SNRPA1	chr15:SNRPA1:t:101285801	t	101285801	15:101285801-101286907:-	15	101285801	101286907	-	263.0	0.036		0.205	0.168	0.174		welch	8.480654687680651e-05	0.016509007792018335	1	1
chx_high	5	chr11:DEAF1:t:644654|11:644654-646326:-	DEAF1	chr11:DEAF1:t:644654	t	644654	11:644654-646326:-	11	644654	646326	-	225.0	0.067		0.219	0.152	0.118		welch	1.5496341617931743e-05	0.009049863504872137	1	1
chx_high	6	chr19:DDX39A:t:14410334|19:14410334-14410547:-	DDX39A	chr19:DDX39A:t:14410334	t	14410334	19:14410334-14410547:-	19	14410334	14410547	-	261.8	0.014		0.16	0.147	0.155		welch	0.00022614953129807976	0.024746972666701075	1	1
chx_high	7	chr8:RPL8:t:144791307|8:144791307-144791849:-	RPL8	chr8:RPL8:t:144791307	t	144791307	8:144791307-144791849:-	8	144791307	144791849	-	236.2	0.077		0.438	0.361	0.316		welch	0.0991571205252229	0.4094519542037817	1	0
