contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit
chx_dose	1	chr19:CLASRP:t:45068419|19:45068058-45068419:+	CLASRP	chr19:CLASRP:t:45068419	t	45068419	19:45068058-45068419:+	19	45068058	45068419	+	294.9	0.249	0.422	0.706	0.456	0.47	0.2272	ols_slope	2.8049394283675843e-05	0.005960932934062642	1	1
chx_dose	2	chr16:EIF3C:t:28723163|16:28721032-28723163:+	EIF3C	chr16:EIF3C:t:28723163	t	28723163	16:28721032-28723163:+	16	28721032	28723163	+	231.9	0.084	0.081	0.477	0.394	0.402	0.1927	ols_slope	0.007968211425690925	0.08798233449200395	0	1
chx_dose	3	chr19:AKAP8:t:15368322|19:15368322-15369066:-	AKAP8	chr19:AKAP8:t:15368322	t	15368322	19:15368322-15369066:-	19	15368322	15369066	-	110.8	0.054	0.233	0.399	0.345	0.352	0.167	ols_slope	6.529786741828243e-05	0.006921573946337937	1	1
chx_dose	4	chr11:HRAS:t:532755|11:532755-533276:-	HRAS	chr11:HRAS:t:532755	t	532755	11:532755-533276:-	11	532755	533276	-	385.7	0.084	0.291	0.361	0.277	0.272	0.1323	ols_slope	0.008873225213439579	0.09221194829652894	1	1
chx_dose	5	chr6:PSMG4:t:3267590|6:3264325-3267590:+	PSMG4	chr6:PSMG4:t:3267590	t	3267590	6:3264325-3267590:+	6	3264325	3267590	+	265.9	0.157	0.315	0.431	0.273	0.229	0.1333	ols_slope	0.00011928551060960009	0.009031617231869722	1	1
chx_dose	6	chr17:SNHG29:t:16440184|17:16439703-16440184:+	SNHG29	chr17:SNHG29:t:16440184	t	16440184	17:16439703-16440184:+	17	16439703	16440184	+	195.6	0.08	0.148	0.326	0.247	0.202	0.1227	ols_slope	0.002725898615103035	0.04815754220015362	1	1
chx_dose	7	chr17:CENPX:t:82019381|17:82019381-82019640:-	CENPX	chr17:CENPX:t:82019381	t	82019381	17:82019381-82019640:-	17	82019381	82019640	-	108.7	0.284	0.331	0.523	0.239	0.122	0.115	ols_slope	0.0066364035844581285	0.08374509285149544	1	1
chx_dose	8	chr1:ENSG00000233461:t:231522637|1:231522637-231527337:-	ENSG00000233461	chr1:ENSG00000233461:t:231522637	t	231522637	1:231522637-231527337:-	1	231522637	231527337	-	169.2	0.524	0.609	0.746	0.222	0.158	0.1121	ols_slope	0.002151390857213764	0.0456094861729318	1	1
chx_dose	9	chr18:TXNL4A:t:79973856|18:79973856-79977597:-	TXNL4A	chr18:TXNL4A:t:79973856	t	79973856	18:79973856-79977597:-	18	79973856	79977597	-	178.4	0.549	0.694	0.769	0.221	0.207	0.1123	ols_slope	0.0044905395783511074	0.06611072157016909	1	1
chx_dose	10	chr19:USF2:t:35270446|19:35270003-35270446:+	USF2	chr19:USF2:t:35270446	t	35270446	19:35270003-35270446:+	19	35270003	35270446	+	146.2	0.536	0.633	0.753	0.217	0.192	0.1212	ols_slope	0.0026520801753589143	0.04815754220015362	1	1
chx_dose		chr17:MYBBP1A:t:4545175|17:4545175-4545266:-	MYBBP1A	chr17:MYBBP1A:t:4545175	t	4545175	17:4545175-4545266:-	17	4545175	4545266	-	358.4	0.021	0.058	0.234	0.214	0.202	0.1064	ols_slope	0.0009001140613210122	0.03180403016667576	1	1
chx_dose		chr17:AARSD1:t:42951894|17:42951894-42954875:-	AARSD1	chr17:AARSD1:t:42951894	t	42951894	17:42951894-42954875:-	17	42951894	42954875	-	214.2	0.149	0.234	0.362	0.213	0.209	0.1045	ols_slope	0.005742326653428558	0.07986847801307743	1	1
chx_dose		chr17:NT5C:t:75130867|17:75130867-75130964:-	NT5C	chr17:NT5C:t:75130867	t	75130867	17:75130867-75130964:-	17	75130867	75130964	-	208.4	0.144	0.245	0.355	0.211	0.191	0.1019	ols_slope	0.009425676452486752	0.09468294994798457	1	1
chx_dose		chr4:TMA16:t:163507032|4:163494836-163507032:+	TMA16	chr4:TMA16:t:163507032	t	163507032	4:163494836-163507032:+	4	163494836	163507032	+	194.6	0.073	0.157	0.266	0.193	0.194	0.0908	ols_slope	0.005991825126768603	0.07986847801307743	1	1
chx_dose		chr16:TCF25:t:89883350|16:89878627-89883350:+	TCF25	chr16:TCF25:t:89883350	t	89883350	16:89878627-89883350:+	16	89878627	89883350	+	376.3	0.021	0.052	0.21	0.188	0.22	0.0943	ols_slope	0.0005122855248469363	0.027151132816887625	1	1
chx_dose		chr17:SNHG29:s:16439414|17:16439414-16439659:+	SNHG29	chr17:SNHG29:s:16439414	s	16439414	17:16439414-16439659:+	17	16439414	16439659	+	232.1	0.075	0.096	0.263	0.188	0.118	0.0997	ols_slope	0.00644674270787017	0.08333594232124854	1	1
chx_dose		chr11:SF1:t:64770408|11:64770408-64776497:-	SF1	chr11:SF1:t:64770408	t	64770408	11:64770408-64776497:-	11	64770408	64776497	-	117.6	0.017	0.036	0.201	0.184	0.192	0.0974	ols_slope	0.0017018118664760946	0.04194846321038207	1	1
