chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
3	185417506	186228296	810791	2	0	0
3	185417510	186080539	663030	0	0	6
3	185417757	186383889	966133	0	1	0
3	185417763	186011698	593936	0	1	0
3	185417824	186011698	593875	4	0	0
3	185417855	186080539	662685	0	1	0
3	185491167	186020336	529170	0	0	1
3	185636342	186450964	814623	2	0	0
3	185643955	186303375	659421	0	0	3
3	185645389	186501739	856351	0	5	0
3	185669587	186582026	912440	2	0	0
3	185800298	186570745	770448	0	5	0
3	185824028	186570743	746716	0	0	4
3	185839587	185917150	77564	1	0	0
3	185917725	185918364	640	0	0	2
3	185917726	185918364	639	127	145	123
3	185918436	185919436	1001	13	15	7
3	185918439	185919436	998	225	242	249
3	185918439	185919437	999	2	0	0
3	185918439	185921103	2665	1	0	0
3	185919492	185921099	1608	0	6	0
3	185919492	185921103	1612	0	0	1
3	185919494	185921103	1610	0	3	0
3	185919495	185921102	1608	3	12	2
3	185919495	185921103	1609	5	7	0
3	185919497	185921103	1607	768	1044	804
3	185919497	185922010	2514	0	0	3
3	185919497	185923795	4299	5	0	0
3	185919500	185921108	1609	2	0	0
3	185921125	185921166	42	2	0	0
3	185921186	185922009	824	4	0	0
3	185921188	185922010	823	595	896	623
3	185921188	185922011	824	5	0	0
3	185921188	185922014	827	4	6	6
3	185922074	186460505	538432	1	0	0
3	185922127	185923795	1669	121	168	130
3	185922127	185923796	1670	0	2	5
3	185922127	185925545	3419	0	0	5
3	185923806	186677161	753356	1	0	0
3	185923855	185937927	14073	2	0	0
3	185923985	185925463	1479	145	185	244
3	185925626	185926602	977	0	5	0
3	185925627	185926600	974	298	239	319
3	185925627	185937824	12198	13	13	3
3	185926734	185937824	11091	3	0	0
3	185926735	185930112	3378	0	0	1
3	185926735	185931576	4842	28	24	42
3	185926735	185937373	10639	0	0	1
3	185926735	185937824	11090	217	157	161
3	185931674	185931846	173	1	0	0
3	185931853	185937373	5521	0	0	3
3	185931853	185937824	5972	142	117	244
3	185934506	185937373	2868	0	0	1
3	185934506	185937824	3319	5	0	0
3	185937662	186277177	339516	1	0	0
3	185937855	185937977	123	0	0	5
3	185937913	186853607	915695	0	0	2
3	185938017	186826999	888983	0	0	5
