chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
16	66505244	67438021	932778	0	1	0	0	0	0
16	66606132	67438214	832083	2	0	0	0	0	0
16	66698276	67653229	954954	0	0	0	0	0	1
16	66877473	67846952	969480	1	0	0	0	0	0
16	66912852	67583410	670559	0	2	0	0	0	0
16	66922864	67710545	787682	0	0	3	0	0	0
16	66933650	67241115	307466	0	3	0	0	0	0
16	66944314	67565673	621360	0	1	0	0	0	0
16	66944320	67754132	809813	0	0	0	1	0	0
16	66967704	67810969	843266	0	1	0	0	0	0
16	67029453	67615144	585692	0	0	0	0	0	1
16	67060557	67604343	543787	0	0	0	0	6	0
16	67065180	67277151	211972	0	0	0	0	0	3
16	67074257	67658232	583976	0	1	0	0	0	0
16	67085911	67570673	484763	0	0	0	7	0	0
16	67096854	67612470	515617	0	0	0	0	1	0
16	67133793	67263784	129992	1	0	0	0	0	0
16	67163883	67264405	100523	0	0	0	0	0	2
16	67166518	67654634	488117	0	0	1	0	0	0
16	67183851	67654538	470688	3	0	0	0	0	0
16	67187935	67626620	438686	1	0	0	0	0	0
16	67197949	67882958	685010	1	0	0	0	0	0
16	67202582	67870914	668333	0	0	1	0	0	1
16	67205789	67870969	665181	0	1	0	0	0	0
16	67227225	67227613	389	0	0	0	0	0	9
16	67227225	67227718	494	5	0	0	1	0	3
16	67227225	67227835	611	60	65	67	45	55	31
16	67227932	67228354	423	10	13	5	1	7	7
16	67228415	67228494	80	17	24	9	6	9	8
16	67228415	67228796	382	0	0	0	0	1	0
16	67228632	67228796	165	92	37	82	80	47	46
16	67228658	67228796	139	3	2	2	22	14	65
16	67228837	67228975	139	0	0	3	4	3	3
16	67228881	67228975	95	1	3	0	0	0	0
16	67228882	67228975	94	145	85	144	177	106	177
