locus	chrom	strand	transcript	exon_starts_1based	exon_ends
CLASRP	19	+	ENST00000221455	45039045,45040184,45052071,45052791,45053098,45056450,45057750,45059268,45060389,45060554,45062154,45064012,45064343,45067337,45068015,45068420,45069066,45069202,45070022,45070537,45070803	45039108,45040311,45052168,45052892,45053177,45056534,45057898,45059364,45060467,45060627,45062195,45064227,45064630,45067594,45068054,45068480,45069124,45069248,45070104,45070561,45070956
EIF3C	16	+	ENST00000331666	28711464,28711657,28713701,28713909,28714321,28714636,28714819,28715307,28723164,28723448,28724322,28724658,28724919,28726605,28727021,28731829,28734520,28734778,28734932,28735173,28735431	28711518,28711787,28713766,28714098,28714446,28714690,28714928,28715434,28723323,28723551,28724463,28724783,28725012,28726795,28727245,28732192,28734679,28734843,28735019,28735335,28735596
AKAP8	19	-	ENST00000269701	15353385,15358967,15360848,15361729,15362110,15368235,15370146,15371952,15372218,15372851,15373786,15374603,15376976,15379713	15355370,15359062,15360978,15361822,15362251,15368322,15370179,15371998,15372347,15373340,15374065,15374635,15377014,15379787
HRAS	11	-	ENST00000311189	532242,532631,533453,533766,534212,535416	532522,532755,533612,533944,534375,535576
PSMG4	6	+	ENST00000438998	3258947,3263684,3267591	3259196,3263759,3268049
SNHG29	17	+	ENST00000778444	16438985,16439327,16440185,16441074,16470302,16480122	16439029,16439414,16440253,16441130,16470378,16480249
CENPX	17	-	ENST00000392359	82018703,82019293,82019641,82019858,82022826	82019219,82019381,82019694,82019909,82022878
ENSG00000233461	1	-	ENST00000654602	231520729,231527338,231528420	231522637,231527415,231528604
TXNL4A	18	-	ENST00000269601	79970813,79977598,79988240	79973856,79977701,79988563
USF2	19	+	ENST00000222305	35268962,35269446,35269581,35269803,35270447,35270718,35271083,35278698,35278946,35279167	35269163,35269492,35269699,35270003,35270597,35270805,35271141,35278792,35279074,35279821
AKAP8L	19	-	ENST00000397410	15380050,15380517,15397150,15397520,15397714,15399302,15400295,15400794,15400947,15401150,15403475,15404010,15410520,15418911	15380430,15380612,15397280,15397625,15397855,15399410,15400358,15400864,15401043,15401603,15403715,15404042,15410594,15418988
SNRPA1	15	-	ENST00000254193	101281510,101284967,101285726,101286214,101286908,101287656,101291962,101293025,101295097	101281782,101285060,101285801,101286293,101287010,101287702,101292040,101293172,101295248
DEAF1	11	-	ENST00000382409	644233,653962,674536,678694,679688,680963,684898,686858,687911,688331,691501,694759	644654,654051,674783,678822,679816,681089,684963,686997,688057,688460,691598,695222
DDX39A	19	-	ENST00000242776	14408798,14409037,14409303,14409536,14409742,14410216,14410989,14411506,14412551,14413013,14419270	14408952,14409184,14409447,14409645,14409873,14410334,14411172,14411598,14412678,14413224,14419341
RPL8	8	-	ENST00000528957	144789769,144790355,144791277,144791773,144791992	144789962,144790470,144791495,144791914,144792390
TMEM208	16	+	ENST00000304800	67227130,67227836,67228355,67228495,67228797,67228976	67227224,67227931,67228414,67228631,67228881,67229278
NOP56	20	+	ENST00000329276	2652632,2652842,2653279,2654414,2654749,2655325,2655595,2655934,2656401,2656774,2657081,2657929	2652663,2652931,2653393,2654575,2654947,2655512,2655746,2656034,2656549,2656895,2657218,2658393
CASP2	7	+	ENST00000310447	143288351,143291540,143292300,143292617,143294230,143294597,143299923,143300204,143303784,143304674,143304940	143288529,143291690,143292467,143292698,143294324,143294773,143300051,143300294,143303933,143304783,143307696
SRSF3	6	+	ENST00000373715	36594362,36596761,36598849,36601152,36601708,36601962	36594481,36596968,36598983,36601190,36601794,36605600
TRA2B	3	-	ENST00000453386	185914558,185918365,185919437,185921104,185922011,185923796,185925464,185926601,185937825	185917725,185918438,185919496,185921187,185922126,185923984,185925626,185926734,185938014
FOXM1	12	-	ENST00000359843	2857680,2864320,2864683,2865355,2866393,2868563,2872096,2873977,2876920	2859663,2864495,2864752,2865399,2866521,2868754,2872247,2874525,2877174
SLC25A17	22	-	ENST00000435456	40769630,40773937,40777040,40777228,40779009,40792525,40794514,40799023,40819195	40770981,40774019,40777135,40777373,40779125,40792676,40794580,40799083,40819346
APLP2	11	+	ENST00000338167	130069894,130109429,130110538,130120706,130121614,130122305,130123612,130126700,130127766,130129048,130130038,130133629,130135563,130140398,130141498,130141919,130143347	130070082,130109602,130110661,130120818,130121810,130122513,130123779,130126830,130127840,130129206,130130166,130133728,130135715,130140483,130141572,130142074,130144805
STRN3	14	-	ENST00000357479	30893804,30895662,30902536,30905418,30906877,30911041,30911777,30912007,30913524,30918966,30929201,30935163,30936495,30947090,30950863,30955620,30956139,31025904	30895580,30895748,30902643,30905558,30907044,30911162,30911824,30912182,30913657,30919106,30929311,30935304,30936624,30947263,30950944,30955693,30956242,31026379
MADD	11	+	ENST00000706887	47270133,47273827,47274563,47275899,47276732,47278165,47278999,47281575,47282381,47282813,47284178,47284375,47284941,47285451,47286433,47288968,47289391,47289867,47290149,47290610,47292543,47293883,47295496,47295897,47308591,47308980,47309281,47309507,47311732,47315220,47323671,47324265,47324471,47326544,47326738,47328658,47329046	47270246,47273976,47275159,47276202,47276863,47278278,47279079,47281753,47282616,47282969,47284281,47284565,47285194,47285590,47286534,47289027,47289493,47290053,47290299,47290816,47292596,47293983,47295579,47296055,47308699,47309042,47309401,47309612,47311842,47315327,47323835,47324337,47324577,47326552,47326807,47328704,47330031
