chrom	intron_start_1based	intron_end	length	control	ris_low
11	46636787	47480089	843303	0	1
11	46753669	47476507	722839	0	3
11	46818402	47597393	778992	0	8
11	46879309	47725051	845743	3	0
11	47041247	47584327	543081	0	2
11	47048733	47584333	535601	0	3
11	47101192	47778264	677073	1	0
11	47174395	47486415	312021	1	0
11	47177803	48090085	912283	0	8
11	47239217	47696012	456796	1	0
11	47244941	47936204	691264	0	2
11	47269907	47273826	3920	0	1
11	47273977	47274562	586	4	0
11	47275160	47275898	739	0	11
11	47275643	47466904	191262	0	6
11	47276203	47276731	529	0	8
11	47276864	47278164	1301	0	3
11	47278279	47278998	720	0	3
11	47281754	47282380	627	0	1
11	47282617	47282812	196	7	0
11	47282970	47284177	1208	0	3
11	47284282	47284374	93	17	11
11	47284566	47284940	375	15	12
11	47285066	47285450	385	4	14
11	47285066	47285477	412	0	1
11	47285195	47285450	256	5	1
11	47285591	47286432	842	19	18
11	47286535	47288967	2433	0	8
11	47286535	47289390	2856	12	11
11	47287125	47540687	253563	2	0
11	47289028	47289390	363	0	8
11	47289494	47289866	373	51	27
11	47290053	47290148	96	6	0
11	47290054	47290148	95	46	18
11	47290058	47290151	94	5	0
11	47290300	47290609	310	58	36
11	47290817	47293882	3066	15	22
11	47293984	47295495	1512	20	12
11	47295568	47295896	329	0	5
11	47295577	47295896	320	1	8
11	47295580	47295896	317	16	3
11	47296056	47308590	12535	19	7
11	47308700	47309280	581	2	12
11	47309402	47309506	105	24	12
11	47309613	47311731	2119	5	8
11	47311843	47315219	3377	7	13
11	47315328	47323670	8343	1	4
11	47320661	47415514	94854	0	6
11	47323836	47324264	429	12	7
11	47324337	47324472	136	3	0
11	47324338	47324470	133	11	14
11	47324578	47326737	2160	25	5
11	47324578	47326831	2254	1	0
11	47326808	47328657	1850	21	4
11	47328499	47328561	63	8	0
11	47328705	47329045	341	25	5
