chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
6	35886406	36836905	950500	4	0	0
6	36111156	37042764	931609	0	4	0
6	36129935	36926691	796757	0	2	0
6	36243679	36596913	353235	7	0	0
6	36322084	36596916	274833	0	0	3
6	36450042	36620277	170236	0	12	0
6	36467349	37218169	750821	0	1	0
6	36490577	36610222	119646	2	0	0
6	36490589	37322279	831691	0	0	3
6	36509631	36602639	93009	1	0	0
6	36522364	36598921	76558	2	0	0
6	36581146	37354022	772877	3	0	0
6	36594478	36596758	2281	0	10	2
6	36594481	36596771	2291	1	0	0
6	36594482	36596760	2279	206	102	86
6	36596782	36596857	76	0	0	4
6	36596810	36596919	110	0	0	14
6	36596839	36598874	2036	5	0	0
6	36596967	36598848	1882	3	3	0
6	36596969	36598848	1880	472	602	665
6	36598978	36600004	1027	0	0	2
6	36598982	36601150	2169	4	0	0
6	36598982	36601151	2170	6	0	7
6	36598984	36599820	837	14	10	40
6	36598984	36599822	839	0	0	2
6	36598984	36600111	1128	0	0	5
6	36598984	36600207	1224	4	0	0
6	36598984	36601151	2168	994	1218	1369
6	36600277	36601151	875	4	0	1
6	36601176	37222387	621212	0	0	5
6	36601190	36601707	518	2	1	0
6	36601191	36601707	517	929	1193	1272
6	36601193	36601710	518	0	0	1
6	36601193	36601711	519	8	0	0
6	36601791	36601961	171	0	0	2
6	36601795	36601961	167	367	562	593
6	36602019	36602051	33	0	0	9
6	36602020	36602054	35	0	2	0
6	36605504	37452669	847166	0	0	1
