chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
1	231097692	231537644	439953	0	0	0	4	0	0
1	231227013	231856318	629306	5	0	0	0	0	0
1	231227716	232058820	831105	0	0	0	3	0	0
1	231239152	231723381	484230	0	4	0	0	0	0
1	231239182	232239001	999820	0	0	0	0	0	3
1	231352725	231959437	606713	0	4	0	0	0	0
1	231421110	231541944	120835	4	0	0	0	0	0
1	231522638	231524425	1788	34	24	18	20	17	33
1	231522638	231527337	4700	65	56	36	120	120	112
1	231522638	231528419	5782	4	33	24	14	30	12
1	231522654	231527337	4684	4	0	0	0	0	0
1	231522721	231527337	4617	1	0	0	0	0	0
1	231522721	231528419	5699	0	0	3	0	0	0
1	231523205	231527337	4133	1	0	0	0	0	0
1	231524542	231527337	2796	14	19	4	2	5	9
1	231524548	231527337	2790	3	4	0	0	0	4
1	231527402	231528415	1014	0	0	0	3	0	0
1	231527416	231528419	1004	39	27	24	23	46	30
