chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
6	2496408	3259005	762598	0	0	0	0	0	5
6	3060700	4031573	970874	0	0	0	0	0	2
6	3157929	3259034	101106	0	0	0	2	0	0
6	3224848	3920424	695577	0	3	0	0	0	0
6	3258012	3850534	592523	0	0	0	0	1	0
6	3259028	3259145	118	0	0	3	0	0	0
6	3259038	3259175	138	0	0	1	0	0	0
6	3259197	3263683	4487	134	115	135	119	82	154
6	3259197	3267590	8394	8	3	3	3	1	0
6	3263714	3267594	3881	0	1	0	0	0	0
6	3263757	3267590	3834	0	0	0	0	4	0
6	3263758	3267589	3832	0	0	0	1	0	0
6	3263760	3264173	414	4	0	0	11	7	9
6	3263760	3264208	449	18	18	32	26	41	44
6	3263760	3267590	3831	196	133	177	110	76	107
6	3263760	3267594	3835	3	0	3	5	3	0
6	3264229	3267604	3376	0	0	0	0	0	2
6	3264317	3267594	3278	6	0	0	0	0	0
6	3264326	3267590	3265	49	34	28	65	57	99
6	3264326	3267594	3269	0	0	5	0	3	0
