chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
19	44265503	45227951	962449	2	0	0
19	44533927	45408394	874468	0	0	1
19	44582772	45408607	825836	1	0	0
19	44582772	45408610	825839	0	3	6
19	44582772	45408613	825842	4	0	0
19	44582772	45408957	826186	0	0	10
19	44582772	45409249	826478	1	0	0
19	44582840	45408959	826120	0	0	1
19	44582840	45408960	826121	0	2	12
19	44583761	45079292	495532	1	0	0
19	44587486	45337834	750349	0	0	1
19	44595811	45409000	813190	2	0	0
19	44616613	45154899	538287	0	1	0
19	44620354	45410565	790212	0	0	3
19	44623506	45408513	785008	0	2	0
19	44639070	45408842	769773	0	0	3
19	44647663	45409632	761970	4	0	0
19	44659751	45401467	741717	4	0	0
19	44672031	45408596	736566	0	0	1
19	44689045	45408726	719682	4	28	16
19	44733722	45409224	675503	4	0	0
19	44738733	45056510	317778	0	0	3
19	44749300	45287612	538313	5	0	0
19	44749301	45287535	538235	0	0	2
19	44786459	45690194	903736	0	0	1
19	44793290	45351677	558388	8	0	0
19	44812254	45067513	255260	0	12	0
19	44816618	45409041	592424	0	1	4
19	44838913	45574178	735266	1	0	0
19	44846262	45409033	562772	0	0	1
19	44865661	45048590	182930	1	0	0
19	44867684	45065423	197740	0	0	8
19	44869589	45806666	937078	0	1	0
19	44872111	45138668	266558	0	1	0
19	44878335	45064871	186537	0	0	4
19	44878339	45185106	306768	3	0	0
19	44880309	45086099	205791	1	0	0
19	44886088	45057759	171672	0	0	6
19	44903649	45039356	135708	0	2	0
19	44903650	45039356	135707	0	3	0
19	44903650	45337963	434314	2	0	0
19	44903652	45039356	135705	0	1	0
19	44905977	45069213	163237	0	0	2
19	44909978	45079290	169313	0	0	11
19	44909983	45409162	499180	0	0	4
19	44911832	45807287	895456	0	0	3
19	44915360	45309954	394595	0	0	1
19	44919739	45640426	720688	0	0	1
19	44928580	45815454	886875	0	1	0
19	44935828	45068041	132214	0	0	6
19	44938494	45685723	747230	0	1	0
19	44944038	45070852	126815	0	4	0
19	44944886	45408987	464102	0	2	0
19	44946111	45408978	462868	2	0	0
19	44948554	45039066	90513	4	0	0
19	44951292	45409648	458357	1	0	0
19	44953325	45552315	598991	1	0	0
19	44992694	45125876	133183	0	0	2
19	44994236	45549365	555130	3	0	0
19	44996699	45687462	690764	0	0	1
19	45001853	45069092	67240	0	0	5
19	45007275	45068042	60768	0	0	1
19	45008666	45303251	294586	0	1	0
19	45039109	45040183	1075	217	111	295
19	45040312	45052070	11759	93	97	87
19	45040312	45056449	16138	1	0	0
19	45041244	45256443	215200	0	0	1
19	45041245	45256443	215199	0	0	1
19	45052098	45053110	1013	12	0	2
19	45052167	45052790	624	0	7	0
19	45052169	45052790	622	238	138	218
19	45052169	45052791	623	6	0	12
19	45052893	45053078	186	0	0	2
19	45052893	45053097	205	262	168	267
19	45053099	45096365	43267	0	0	2
19	45053113	45807641	754529	0	1	0
19	45053134	45057782	4649	0	0	5
19	45053177	45056449	3273	4	0	0
19	45053178	45056449	3272	149	137	207
19	45056535	45057749	1215	157	132	253
19	45057564	45057749	186	0	0	4
19	45057883	45059267	1385	2	8	39
19	45057899	45059267	1369	76	63	134
19	45059365	45060388	1024	83	92	179
19	45060467	45060553	87	0	0	2
19	45060468	45060553	86	49	52	168
19	45060628	45062153	1526	30	50	126
19	45062196	45064011	1816	30	51	94
19	45064173	45070826	6654	0	0	2
19	45064181	45064350	170	5	0	0
19	45064228	45064342	115	28	17	49
19	45064395	45067471	3077	6	0	0
19	45064471	45064572	102	0	1	0
19	45064472	45064573	102	0	6	0
19	45064583	45070081	5499	3	0	0
19	45064631	45067336	2706	127	121	331
19	45064631	45067339	2709	4	0	0
19	45064631	45069065	4435	0	0	1
19	45064633	45067339	2707	0	0	10
19	45065058	45996395	931338	0	3	0
19	45065577	45192840	127264	0	1	0
19	45065579	45192840	127262	0	1	0
19	45067344	45067566	223	0	0	7
19	45067423	45067520	98	1	0	0
19	45067455	45067502	48	2	0	1
19	45067457	45068022	566	0	1	0
19	45067459	45068024	566	5	0	0
19	45067533	45069229	1697	0	0	1
19	45067535	45069086	1552	0	3	0
19	45067581	45068437	857	0	0	2
19	45067594	45068014	421	7	4	6
19	45067594	45069065	1472	0	0	2
19	45067595	45068014	420	322	407	899
19	45067595	45068419	825	3	0	16
19	45067595	45069065	1471	31	5	62
19	45067595	45069097	1503	2	0	0
19	45068032	45068419	388	2	0	5
19	45068055	45068419	365	331	342	372
19	45068059	45068419	361	116	259	947
19	45068059	45068420	362	0	0	3
19	45068059	45068425	367	0	0	4
19	45068059	45068533	475	0	0	6
19	45068059	45069065	1007	0	11	2
19	45068121	45068419	299	3	6	12
19	45068465	45069082	618	0	3	0
19	45068479	45069065	587	0	3	0
19	45068481	45069065	585	804	1030	2172
19	45068485	45069070	586	7	1	7
19	45068597	45069065	469	5	0	6
19	45069121	45069201	81	0	0	6
19	45069124	45069201	78	0	4	0
19	45069124	45069206	83	1	0	0
19	45069125	45069186	62	0	0	2
19	45069125	45069201	77	801	982	2198
19	45069125	45069211	87	0	0	4
19	45069125	45070021	897	5	0	1
19	45069246	45070020	775	0	3	9
19	45069249	45069940	692	0	3	0
19	45069249	45069943	695	3	0	37
19	45069249	45069971	723	0	0	1
19	45069249	45069985	737	3	0	0
19	45069249	45070021	773	600	778	1780
19	45070105	45070536	432	194	253	465
19	45070107	45070539	433	2	0	0
19	45070109	45070542	434	0	1	5
19	45070254	45798139	727886	0	2	0
19	45070562	45070802	241	217	258	485
19	45070563	45070804	242	3	0	0
