qstart	qend	sstart	send	length	pident	bitscore
87	29181	1	29101	29107	99.856	53502
25362	26013	2825	3481	663	79.487	455
2907	3562	25287	25938	664	79.518	455
25363	25661	11944	11652	299	89.967	381
4980	5285	1802	1500	308	89.286	379
1582	1887	5209	4901	311	89.068	379
11728	12023	25586	25285	302	89.404	375
11733	12020	9132	9426	295	89.831	372
9208	9502	11657	11944	295	89.831	372
9201	9491	25938	25648	293	89.761	372
26204	26513	18972	18666	310	88.387	370
18742	19048	26438	26129	310	88.387	370
25723	26016	9415	9122	295	89.153	366
18742	19037	1496	1790	296	88.851	363
1578	1872	18666	18961	296	88.851	363
22503	22804	1810	1495	319	88.088	361
26210	26514	1802	1495	309	88.026	361
25363	25656	9426	9132	298	88.926	361
1577	1884	26439	26135	309	88.026	361
1577	1888	22729	22424	318	87.736	355
9208	9502	25581	25288	298	88.591	355
1577	1880	23767	24072	308	87.338	348
18748	19050	5207	4904	307	87.296	344
4980	5283	18974	18672	307	87.296	344
23842	24147	1495	1798	308	87.013	342
4976	5285	22429	22724	313	87.220	339
18755	19038	23781	24066	286	88.112	339
26197	26515	24488	24799	319	86.207	339
24563	24874	26122	26440	319	86.207	339
25717	26003	11939	11659	287	88.153	337
11735	12015	25928	25642	288	88.194	337
24570	24865	18972	18673	300	87.000	335
18755	19048	24784	24495	294	87.415	335
12215	12670	26601	27064	470	80.213	335
22504	22799	4900	5209	313	86.901	333
23856	24141	18679	18962	286	87.762	333
25713	26003	25289	25579	294	87.075	327
26209	26503	4906	5203	299	86.622	326
4982	5279	26134	26428	299	86.622	326
24592	24890	1778	1476	303	86.139	324
26681	27144	12139	12594	470	79.787	324
22514	22804	24072	23767	307	86.645	324
1577	1872	24798	24505	296	86.486	324
26210	26525	24072	23758	318	85.220	322
25364	25654	25638	25928	297	86.532	316
23833	24147	26450	26135	318	84.906	316
9201	9491	3481	3192	293	86.007	309
3273	3562	9415	9125	293	86.007	309
24549	24858	12747	13059	315	84.762	309
12823	13135	24474	24783	315	84.762	309
12842	13135	12301	12590	294	85.714	307
12377	12666	12766	13059	294	85.714	307
11729	12026	3478	3175	308	85.065	302
3262	3562	11944	11650	305	85.246	302
24572	24864	24072	23776	298	85.235	302
20705	20987	9125	9410	289	85.813	298
12841	13135	11283	10987	301	85.050	298
9201	9486	20628	20910	289	85.813	298
26851	27155	24072	23767	310	84.516	298
12841	13135	3491	3196	297	84.848	296
3283	3572	13053	12765	291	85.223	296
23854	24147	24786	24497	295	85.085	296
11063	11359	13059	12765	303	84.818	292
23842	24147	27075	26771	310	84.194	292
22087	22356	26131	26403	275	86.182	291
24570	24862	4904	5203	300	84.333	287
4980	5279	24495	24787	300	84.333	287
26206	26478	22012	22281	275	85.818	285
9195	9522	1802	1476	333	82.583	283
26843	27150	1809	1500	313	83.387	283
1561	1884	9443	9119	330	82.727	283
12861	13135	25928	25652	279	85.305	283
1588	1891	27064	26763	307	83.713	283
25356	25657	3175	3475	309	83.819	279
25727	26003	13059	12785	278	84.892	278
18756	19052	13059	12765	298	83.557	276
12841	13135	18976	18680	298	83.557	276
19369	19646	20630	20907	281	84.698	276
22090	22355	4906	5175	272	85.294	274
14731	15007	13059	12777	285	84.561	274
19369	19646	12780	13055	279	84.588	274
12853	13135	14931	14655	285	84.561	274
20708	20984	19293	19569	280	84.643	274
3256	3556	25281	25582	307	83.388	274
1577	1875	25288	25585	303	83.498	274
16270	16573	9427	9120	310	82.903	272
9208	9503	16485	16194	298	83.557	272
12856	13131	19293	19569	279	84.588	272
3261	3562	1494	1794	303	82.838	268
25363	25660	1495	1793	303	83.168	268
1576	1876	3180	3481	303	82.838	268
4982	5251	22015	22280	271	84.871	268
25710	26002	27078	26783	297	83.165	267
26707	27150	3627	3186	450	77.778	265
2923	3449	13059	12551	534	76.592	265
26844	27140	12765	13059	299	82.943	265
25350	25660	22741	22443	314	82.803	265
3273	3708	27064	26627	444	77.928	265
12841	13135	26764	27060	299	82.943	265
22984	23275	14648	14928	293	83.618	263
14724	15004	22909	23200	293	83.618	263
12856	13135	28662	28942	283	83.746	263
9209	9490	24061	23779	287	83.624	261
11730	12020	1790	1495	299	82.943	259
12627	13135	3368	2841	535	76.449	259
1577	1872	11944	11654	299	82.943	259
12847	13135	24072	23782	295	83.051	259
22521	22816	25582	25275	311	82.637	259
9189	9492	4901	5204	311	82.315	257
4977	5280	9113	9416	311	82.315	257
28742	29022	12780	13059	283	83.392	257
23854	24136	9414	9133	287	83.275	255
23857	24147	13059	12771	296	82.770	254
25368	25660	27070	26776	297	82.155	250
12856	13135	11654	11929	284	83.099	248
11730	12005	12780	13059	284	83.099	248
22508	22793	26764	27064	303	82.508	248
2919	3210	27064	26771	295	82.034	248
11726	12020	26772	27075	306	82.026	248
22091	22355	22438	22691	267	84.270	246
26856	27156	25585	25287	303	81.518	244
18742	19042	2827	3129	303	81.188	243
26852	27155	11650	11944	306	81.699	243
26844	27144	22433	22718	303	82.178	243
22515	22804	11650	11944	302	82.119	241
2909	3210	18666	18966	303	81.188	241
26851	27156	3129	2825	307	80.782	237
11726	12020	3128	2826	304	81.250	237
4989	5285	3125	2831	299	81.271	237
2913	3214	5209	4907	306	81.046	237
18737	19041	11948	11650	308	81.169	237
11729	12027	18962	18658	310	81.290	237
24570	24874	26765	27076	312	80.769	237
22513	22766	22016	22280	268	83.582	235
11726	12020	22440	22729	302	81.788	235
23842	24148	2826	3130	310	80.645	233
28740	29027	14932	14650	291	81.787	233
14716	15012	25288	25590	308	81.169	233
16271	16543	2826	3102	281	82.206	231
16271	16575	11944	11645	309	80.906	231
11721	12020	16499	16195	309	80.906	231
2908	3184	16195	16467	281	82.206	231
2908	3216	23767	24074	311	80.386	231
2908	3209	11944	11650	304	80.921	230
25363	25665	14640	14936	308	80.844	228
14726	15008	28947	28660	291	81.443	228
20747	21002	14892	14641	260	83.077	226
19368	19646	16490	16214	282	81.560	226
14717	14968	20925	20670	260	83.077	226
26845	27156	24495	24799	312	80.128	226
16290	16566	19569	19292	282	81.560	224
26895	27156	23455	23200	264	82.576	224
14726	14991	1505	1776	274	81.752	220
23285	23530	10981	11230	251	82.869	220
24576	24873	11650	11944	303	80.528	220
1587	1858	14650	14915	274	81.752	220
11726	12020	24501	24798	303	80.528	220
11726	12015	24071	23772	303	80.528	219
18755	19051	27061	26763	301	80.066	219
11057	11306	23210	23455	251	82.470	215
25771	26012	10402	10168	243	83.128	213
23847	24146	11939	11650	305	80.328	213
19380	19644	14920	14661	267	81.648	213
14737	14996	19567	19303	267	81.648	213
19369	19646	24504	24779	281	80.783	213
16276	16573	5209	4908	305	79.672	211
4987	5285	16494	16200	302	79.801	211
24579	24854	19293	19569	280	80.714	211
24575	24874	3129	2825	306	79.412	209
2907	3210	24799	24500	306	79.412	209
26843	27144	18975	18676	304	79.276	207
23854	24146	28945	28655	297	79.798	207
22504	22804	3492	3181	316	79.430	206
23291	23529	13059	12819	245	82.449	206
12895	13135	23454	23216	244	82.377	206
3262	3576	22729	22426	319	78.997	200
28751	29027	23192	22911	284	79.577	195
22986	23275	28947	28661	293	78.840	189
3566	3734	26950	26778	174	85.057	172
25832	26003	3479	3652	178	84.831	171
26026	26169	26772	26914	145	88.276	171
12877	13032	3635	3479	158	86.076	167
3560	3716	12956	12801	158	86.076	167
3560	3733	25757	25928	177	83.616	159
26852	26994	25951	26094	145	86.897	159
197	244	21102	21054	49	87.755	56.5
204	232	21101	21073	29	100.000	54.7
21143	21177	144	111	35	94.286	52.8
206	233	21101	21074	28	100.000	52.8
