chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
19	13581411	14491401	909991	6	0	0	0	0	0
19	13600443	14470587	870145	0	0	0	0	0	1
19	13600871	14408864	807994	2	0	0	0	0	0
19	13759011	14639740	880730	0	0	1	0	0	0
19	13778261	14670879	892619	0	0	2	0	0	0
19	13825829	14471612	645784	0	0	0	0	1	0
19	13959721	14441407	481687	0	2	0	0	0	0
19	14054511	14595251	540741	1	0	0	0	0	0
19	14054768	14493280	438513	0	3	0	0	0	0
19	14055020	14475701	420682	0	3	0	0	0	0
19	14072943	14713548	640606	0	0	1	0	0	0
19	14085400	14470232	384833	1	0	0	0	0	0
19	14088056	14451270	363215	1	0	0	0	0	0
19	14090457	14558758	468302	0	2	0	0	0	0
19	14091476	14565847	474372	0	0	0	0	1	0
19	14150077	14580675	430599	0	2	0	0	0	0
19	14150111	14976679	826569	1	0	0	0	0	0
19	14194892	14591159	396268	1	0	0	0	0	0
19	14217647	14443575	225929	0	2	0	0	0	0
19	14278683	14408864	130182	0	0	2	0	0	0
19	14406643	14471651	65009	0	2	0	0	0	0
19	14408873	14410268	1396	0	0	5	0	0	0
19	14408884	14410215	1332	2	0	0	0	0	0
19	14408897	14409779	883	0	0	2	0	0	0
19	14408900	14411514	2615	0	0	1	0	0	0
19	14408902	14409311	410	0	6	0	0	0	0
19	14408945	14409036	92	0	0	4	0	0	6
19	14408948	14409032	85	9	0	0	0	2	4
19	14408952	14409036	85	0	3	0	0	3	6
19	14408952	14409039	88	4	3	2	1	7	4
19	14408953	14409036	84	858	1031	1157	1159	1129	1597
19	14408953	14409037	85	0	4	5	0	2	0
19	14409056	15188579	779524	3	0	0	0	0	0
19	14409058	14495186	86129	0	0	0	0	0	3
19	14409067	14413210	4144	0	0	0	0	0	4
19	14409080	14409384	305	0	0	0	0	5	0
19	14409104	14409389	286	0	0	4	0	0	0
19	14409184	14409302	119	0	5	0	0	0	0
19	14409185	14409302	118	180	220	175	230	254	259
19	14409448	14409535	88	64	146	107	115	119	142
19	14409448	14409536	89	2	0	0	0	0	0
19	14409646	14409741	96	36	71	62	37	72	94
19	14409874	14410215	342	118	208	132	142	126	165
19	14409982	14410215	234	0	0	1	21	7	28
19	14409985	14410215	231	5	0	0	8	13	2
19	14410333	14410988	656	0	0	0	1	0	4
19	14410335	14410420	86	3	4	7	32	22	18
19	14410335	14410547	213	4	0	5	31	21	41
19	14410335	14410988	654	184	238	139	121	104	175
19	14410335	14410989	655	5	3	2	0	0	0
19	14410606	14410988	383	7	0	9	33	31	37
19	14411169	14411503	335	0	0	4	0	0	0
19	14411172	14411505	334	0	3	0	0	0	0
19	14411173	14411505	333	112	137	102	100	90	86
19	14411341	14411433	93	0	0	1	0	0	0
19	14411598	14412550	953	0	0	3	0	0	0
19	14411599	14412550	952	234	211	223	169	220	172
19	14412679	14413012	334	100	138	125	61	136	105
19	14412679	14413014	336	0	1	0	0	0	0
19	14413039	14441437	28399	0	0	2	0	0	0
19	14413100	15096484	683385	0	0	0	7	0	0
19	14413151	15363436	950286	0	0	0	0	3	0
19	14413168	14418968	5801	0	1	0	0	0	0
19	14413225	14418928	5704	1	0	0	0	0	0
19	14413225	14419269	6045	22	13	18	14	8	14
19	14416845	14600740	183896	0	0	0	1	0	0
