comparison	gene_id	symbol	mean_log2_reference	mean_log2_truseq	deviation_log2	direction	histone_replication_dependent	mrna_length_nt
TruSeq vs BOBseq	ENSG00000000003	TSPAN6	3.623	6.268	2.247	over-represented in TruSeq	0	3296
TruSeq vs BOBseq	ENSG00000000419	DPM1	4.438	7.083	2.247	over-represented in TruSeq	0	1098
TruSeq vs BOBseq	ENSG00000000460	FIRRM	2.333	5.56	2.829	over-represented in TruSeq	0	2180
TruSeq vs BOBseq	ENSG00000001167	NFYA	2.852	5.674	2.424	over-represented in TruSeq	0	3536
TruSeq vs BOBseq	ENSG00000002822	MAD1L1	7.221	4.748	-2.871	under-represented in TruSeq	0	1358
TruSeq vs BOBseq	ENSG00000004864	SLC25A13	3.505	6.181	2.278	over-represented in TruSeq	0	2989
TruSeq vs BOBseq	ENSG00000004897	CDC27	3.203	6.968	3.367	over-represented in TruSeq	0	1262
TruSeq vs BOBseq	ENSG00000004961	HCCS	3.612	6.387	2.377	over-represented in TruSeq	0	1421
TruSeq vs BOBseq	ENSG00000005022	SLC25A5	7.828	10.75	2.525	over-represented in TruSeq	0	1247
TruSeq vs BOBseq	ENSG00000005194	CIAPIN1	4.695	7.21	2.116	over-represented in TruSeq	0	1096
TruSeq vs BOBseq	ENSG00000005893	LAMP2	2.894	6.568	3.276	over-represented in TruSeq	0	3073
TruSeq vs BOBseq	ENSG00000006118	TMEM132A	7.444	5.381	-2.461	under-represented in TruSeq	0	2171
TruSeq vs BOBseq	ENSG00000006327	TNFRSF12A	7.334	3.976	-3.756	under-represented in TruSeq	0	873
TruSeq vs BOBseq	ENSG00000006652	IFRD1	3.17	6.16	2.593	over-represented in TruSeq	0	1801
TruSeq vs BOBseq	ENSG00000006715	VPS41	2.586	5.355	2.371	over-represented in TruSeq	0	2932
TruSeq vs BOBseq	ENSG00000007080	CCDC124	10.303	8.512	-2.189	under-represented in TruSeq	0	978
TruSeq vs BOBseq	ENSG00000007392	LUC7L	8.116	6.504	-2.01	under-represented in TruSeq	0	1092
TruSeq vs BOBseq	ENSG00000007520	TSR3	9.9	6.825	-3.473	under-represented in TruSeq	0	695
TruSeq vs BOBseq	ENSG00000008128	CDK11A	8.007	5.123	-3.281	under-represented in TruSeq	0	1003
TruSeq vs BOBseq	ENSG00000008294	SPAG9	3.493	6.358	2.467	over-represented in TruSeq	0	1850
TruSeq vs BOBseq	ENSG00000008382	MPND	8.539	4.467	-4.47	under-represented in TruSeq	0	1411
TruSeq vs BOBseq	ENSG00000008952	SEC62	8.651	6.609	-2.44	under-represented in TruSeq	0	2613
TruSeq vs BOBseq	ENSG00000009307	CSDE1	6.832	9.786	2.556	over-represented in TruSeq	0	1947
TruSeq vs BOBseq	ENSG00000009844	VTA1	3.184	6.99	3.408	over-represented in TruSeq	0	2024
TruSeq vs BOBseq	ENSG00000010244	ZNF207	5.36	8.178	2.42	over-represented in TruSeq	0	2279
TruSeq vs BOBseq	ENSG00000010361	FUZ	8.336	6.127	-2.607	under-represented in TruSeq	0	941
TruSeq vs BOBseq	ENSG00000010626	LRRC23	6.418	2.473	-4.343	under-represented in TruSeq	0	1157
TruSeq vs BOBseq	ENSG00000011332	DPF1	6.255	4.028	-2.626	under-represented in TruSeq	0	1154
