chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
8	143793680	144789824	996145	0	2	0	0	0	0
8	143832845	144789842	956998	0	0	0	3	0	0
8	143881227	144789828	908602	1	0	0	0	0	0
8	143892297	144789834	897538	0	2	0	0	0	0
8	144032906	144789825	756920	0	0	1	0	0	0
8	144042776	144789824	747049	0	0	1	0	0	0
8	144114529	144789805	675277	0	0	0	0	0	4
8	144188496	144789778	601283	0	1	0	0	0	0
8	144192357	144789824	597468	0	3	3	0	0	0
8	144222270	144789804	567535	0	0	0	0	0	7
8	144289272	144897679	608408	0	0	0	0	0	1
8	144353346	144789802	436457	4	0	0	0	0	0
8	144432338	144808719	376382	0	0	2	0	0	0
8	144451287	144789829	338543	0	0	0	6	0	0
8	144451453	144820803	369351	0	0	0	0	4	0
8	144451851	144805753	353903	1	0	0	0	0	0
8	144458546	144789824	331279	0	1	1	6	0	0
8	144467966	144789842	321877	0	2	0	0	0	0
8	144474644	144789829	315186	3	1	0	0	0	0
8	144482687	144789780	307094	1	0	0	0	0	0
8	144513213	145055921	542709	0	1	0	0	0	0
8	144519755	144789826	270072	0	2	0	0	0	0
8	144564321	144789825	225505	0	0	6	0	0	0
8	144576884	144789832	212949	0	0	0	1	0	0
8	144592755	145054024	461270	0	0	1	0	0	0
8	144632018	144789813	157796	0	0	0	0	3	0
8	144653250	144815065	161816	0	0	0	4	0	0
8	144668612	145052801	384190	0	0	3	0	0	0
8	144755683	144789829	34147	0	0	0	3	0	0
8	144789811	144791342	1532	0	0	2	0	0	0
8	144789816	144790391	576	0	0	0	0	2	0
8	144789827	144791342	1516	0	2	0	2	0	0
8	144789835	144790367	533	2	0	0	0	0	0
8	144789845	144792107	2263	5	0	0	0	0	0
8	144789847	144790421	575	1	0	0	0	0	0
8	144789850	144791834	1985	0	0	0	0	0	2
8	144789857	144789889	33	0	0	2	0	0	9
8	144789857	144789948	92	0	0	1	0	0	0
8	144789862	144791782	1921	0	2	0	0	0	3
8	144789869	144791299	1431	0	3	0	0	0	0
8	144789872	144791787	1916	0	2	0	0	0	0
8	144789875	144790393	519	3	0	0	0	0	0
8	144789875	144790455	581	0	0	0	0	0	5
8	144789875	144791370	1496	0	1	0	0	0	0
8	144789875	144791872	1998	0	6	0	0	0	0
8	144789877	144789941	65	2	0	0	0	0	0
8	144789878	144789898	21	0	3	0	0	0	0
8	144789879	144790419	541	0	0	0	4	0	0
8	144789879	144792025	2147	0	1	0	0	0	0
8	144789880	144791335	1456	0	0	0	0	0	5
8	144789881	144790379	499	0	0	3	3	0	0
8	144789881	144790410	530	0	0	3	0	0	0
8	144789881	144791346	1466	0	0	1	0	0	0
8	144789886	144791430	1545	0	0	5	0	0	0
8	144789887	144791397	1511	0	0	0	0	1	0
8	144789893	144902237	112345	0	0	0	0	0	1
8	144789896	144790391	496	0	0	5	0	0	1
8	144789899	144790396	498	0	0	3	0	0	0
8	144789900	144792008	2109	0	0	2	0	0	0
8	144789903	144790432	530	0	1	0	0	0	0
8	144789904	144792029	2126	3	0	0	0	0	0
8	144789905	144790375	471	0	0	1	0	0	0
8	144789905	144790378	474	0	0	0	0	1	0
8	144789905	144790409	505	0	0	0	7	2	0
8	144789909	144791298	1390	0	5	0	0	0	0
8	144789910	144791296	1387	0	0	0	2	0	0
8	144789911	144790354	444	0	0	0	0	0	5
8	144789912	144790435	524	2	0	1	0	2	0
