chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
20	1732278	2657149	924872	2	0	0
20	1786369	2652912	866544	0	0	5
20	1818723	2658024	839302	0	5	0
20	1871072	2656877	785806	0	0	2
20	2077674	2835325	757652	0	1	0
20	2121491	3013417	891927	0	1	0
20	2135094	3046492	911399	2	0	0
20	2205781	2948705	742925	0	0	1
20	2205814	3041255	835442	4	0	0
20	2207484	2652644	445161	0	2	0
20	2222753	2663511	440759	0	0	5
20	2236198	3213184	976987	1	0	0
20	2267359	2660744	393386	0	3	0
20	2317062	3215293	898232	1	0	0
20	2397106	2657152	260047	0	0	4
20	2418522	2657126	238605	1	0	0
20	2430691	2658147	227457	2	0	0
20	2456620	3221886	765267	0	0	1
20	2461784	3081512	619729	0	1	0
20	2461936	3234827	772892	0	2	0
20	2462733	2700237	237505	0	1	0
20	2463215	2824191	360977	0	0	4
20	2465794	2816486	350693	0	0	1
20	2470731	2654707	183977	0	2	0
20	2470733	2738563	267831	0	4	0
20	2470733	2804793	334061	2	0	0
20	2470743	2726934	256192	0	0	2
20	2470747	3340433	869687	5	0	0
20	2490050	2657964	167915	0	0	4
20	2508999	3035897	526899	0	0	2
20	2520969	2657116	136148	0	0	9
20	2527122	3195277	668156	1	0	0
20	2541909	3200391	658483	2	0	0
20	2584342	2946745	362404	0	1	0
20	2617640	2988027	370388	1	0	0
20	2652664	2652841	178	57	65	78
20	2652899	2657208	4310	0	3	0
20	2652917	2654436	1520	4	0	1
20	2652932	2653278	347	115	104	130
20	2652936	2653284	349	0	9	0
20	2653174	2653278	105	0	2	0
20	2653388	2654408	1021	1	0	0
20	2653393	2654414	1022	0	5	0
20	2653394	2654388	995	0	0	9
20	2653394	2654413	1020	138	204	151
20	2653603	2655644	2042	3	0	0
20	2654309	2654413	105	0	10	1
20	2654469	2655357	889	0	2	0
20	2654564	2656003	1440	0	0	4
20	2654576	2654748	173	32	83	25
20	2654948	2655324	377	15	50	24
20	2655417	2657084	1668	1	0	0
20	2655470	2655500	31	0	0	2
20	2655511	2655593	83	0	0	2
20	2655513	2655594	82	112	240	225
20	2655515	2655597	83	0	7	0
20	2655543	2656400	858	3	1	17
20	2655543	2656677	1135	5	0	0
20	2655543	2656773	1231	26	0	10
20	2655723	2656015	293	0	0	3
20	2655747	2655933	187	207	542	478
20	2655747	2655936	190	0	4	2
20	2655747	2655937	191	0	4	0
20	2655747	2656400	654	0	0	1
20	2656035	2656400	366	75	295	206
20	2656035	2656773	739	1	8	36
20	2656035	2657186	1152	0	4	0
20	2656209	2656768	560	0	0	2
20	2656211	2656768	558	0	5	0
20	2656215	2656400	186	208	59	108
20	2656215	2656402	188	0	1	0
20	2656215	2656773	559	48	16	55
20	2656215	2656774	560	0	4	0
20	2656215	2656775	561	4	0	0
20	2656498	2656535	38	5	0	0
20	2656507	2656773	267	2	0	0
20	2656545	2656767	223	1	0	0
20	2656550	2656773	224	256	334	326
20	2656550	2656774	225	7	2	0
20	2656693	2656880	188	5	0	0
20	2656833	2657103	271	0	1	0
20	2656843	2657113	271	0	8	0
20	2656890	2657079	190	0	0	2
20	2656890	2657928	1039	0	1	0
20	2656895	2657080	186	0	3	0
20	2656896	2657080	185	462	572	666
20	2656896	2657084	189	0	5	7
20	2656896	2657146	251	0	0	1
20	2656896	2657928	1033	0	8	0
20	2656898	2657083	186	0	3	12
20	2656900	2657086	187	0	8	0
20	2657099	2657928	830	0	4	0
20	2657108	2658111	1004	0	0	4
20	2657116	2657927	812	0	0	2
20	2657117	2657937	821	0	0	2
20	2657123	2657970	848	0	0	1
20	2657124	2657926	803	0	1	2
20	2657124	2657929	806	0	5	0
20	2657140	2657948	809	0	0	3
20	2657141	2657952	812	0	2	0
20	2657212	2862124	204913	0	0	4
20	2657214	2657928	715	0	2	1
20	2657215	2657925	711	0	0	1
20	2657216	2657927	712	0	2	0
20	2657219	2657372	154	115	153	242
20	2657219	2657928	710	668	1006	1083
20	2657219	2657930	712	0	0	1
20	2657219	2657931	713	3	6	0
20	2657223	2657379	157	1	0	2
20	2657223	2657936	714	0	8	6
20	2657489	2657638	150	2	0	0
20	2657489	2657928	440	108	112	210
20	2657494	2657928	435	6	10	5
20	2657693	2657928	236	2	0	0
20	2657952	2657997	46	1	0	0
20	2657960	2658090	131	7	0	0
20	2657966	2658090	125	0	0	1
20	2657998	2658029	32	3	0	0
20	2658005	2658040	36	4	0	7
20	2658018	2658095	78	0	6	0
20	2658046	2658123	78	0	12	0
20	2658046	2658124	79	0	0	1
20	2658046	2658195	150	0	3	0
20	2658076	2658110	35	3	6	0
20	2658103	2658249	147	0	4	0
20	2658130	2881015	222886	1	0	0
20	2658139	2658180	42	0	2	0
20	2658139	2658186	48	0	1	0
20	2658145	2658220	76	0	4	0
20	2658184	2658258	75	5	0	0
20	2658222	2918398	260177	0	0	1
20	2658393	3057515	399123	0	0	1
