chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	ris_low_1	ris_low_2	ris_low_3
12	2185773	3001667	815895	0	0	0	0	0	2
12	2235172	2890078	654907	0	0	0	0	0	1
12	2798714	2931597	132884	0	0	0	3	0	0
12	2803183	3093603	290421	0	4	0	0	0	0
12	2803352	3235182	431831	1	0	0	0	0	0
12	2803383	3540808	737426	4	0	0	0	0	0
12	2836957	2858011	21055	0	0	2	2	0	0
12	2840996	2857996	17001	0	0	0	0	1	0
12	2843369	2858011	14643	7	0	0	0	0	0
12	2843582	2858011	14430	0	1	0	0	0	0
12	2848237	2858011	9775	0	0	0	3	0	0
12	2857814	2857835	22	0	0	0	0	0	1
12	2857922	2858448	527	0	0	0	2	0	0
12	2857984	3029911	171928	0	0	0	3	0	0
12	2858585	2858897	313	0	1	0	0	0	0
12	2858844	2858875	32	0	0	0	3	0	0
12	2859564	2864319	4756	0	0	2	0	0	0
12	2859664	2861298	1635	0	0	0	0	3	0
12	2859664	2861378	1715	0	0	0	0	5	0
12	2859664	2864319	4656	26	21	44	9	21	46
12	2861413	2864319	2907	0	0	0	3	5	2
12	2863550	2863867	318	0	1	0	0	0	0
12	2864496	2864682	187	6	6	20	5	18	3
12	2864753	2864884	132	0	0	4	0	0	0
12	2864753	2865354	602	10	0	3	0	22	2
12	2864753	2866392	1640	4	1	7	3	9	2
12	2864753	2868562	3810	0	0	0	0	1	0
12	2864756	2865354	599	0	3	1	3	2	0
12	2864756	2866392	1637	3	0	0	0	0	0
12	2864946	2865354	409	0	0	4	0	0	5
12	2865400	2866392	993	10	3	10	4	20	5
12	2866425	2874096	7672	0	0	5	0	0	0
12	2866522	2868562	2041	13	15	1	4	23	5
12	2868755	2872095	3341	72	59	57	76	67	71
12	2868755	2872101	3347	0	1	0	0	0	2
12	2868755	2873976	5222	1	1	0	7	12	0
12	2868755	2876919	8165	3	0	0	0	0	0
12	2872245	2873952	1708	0	0	0	0	0	1
12	2872245	2873976	1732	46	8	24	10	7	26
12	2872245	2873978	1734	0	0	0	0	0	1
12	2872245	2873979	1735	0	0	0	0	3	0
12	2872248	2873976	1729	51	37	52	47	20	42
12	2874526	2876919	2394	31	24	39	11	11	18
12	2874526	2876921	2396	0	0	0	0	0	1
12	2876583	2885282	8700	0	0	2	0	0	0
