chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
15	100554276	101398464	844189	0	0	3	0	0	0
15	101031917	101288431	256515	0	0	0	0	0	4
15	101097398	101684088	586691	0	1	0	0	0	0
15	101205959	101696210	490252	0	0	0	0	0	1
15	101281783	101284966	3184	363	367	343	516	506	612
15	101285010	101295188	10179	0	0	0	0	1	0
15	101285028	101295192	10165	0	0	0	0	0	6
15	101285029	101285761	733	0	0	0	0	0	1
15	101285048	101489187	204140	0	0	0	0	0	3
15	101285051	101285717	667	0	4	0	0	0	0
15	101285060	101285726	667	2	5	3	7	0	5
15	101285061	101285725	665	326	305	273	417	356	493
15	101285061	101285726	666	0	3	3	0	0	0
15	101285062	101285727	666	0	3	4	0	0	2
15	101285761	101291970	6210	0	0	0	1	0	0
15	101285796	101286215	420	0	0	1	0	0	0
15	101285799	101286213	415	0	0	0	0	3	0
15	101285800	101286213	414	7	3	0	0	0	0
15	101285801	101286907	1107	0	0	0	0	0	3
15	101285802	101286213	412	181	173	128	214	123	226
15	101285802	101286907	1106	5	3	8	50	31	56
15	101286234	101286261	28	0	0	0	0	2	0
15	101286277	101567073	280797	6	0	0	0	0	0
15	101286294	101286907	614	61	22	37	12	25	30
15	101287009	101287655	647	2	0	0	0	0	0
15	101287011	101287655	645	19	13	15	7	18	12
15	101287011	101295096	8086	0	0	6	0	0	0
15	101287703	101289813	2111	0	0	0	7	0	0
15	101287703	101291961	4259	14	14	10	6	19	0
15	101287703	101295096	7394	4	0	1	0	0	0
15	101289923	101291961	2039	0	0	0	0	0	9
15	101292041	101293024	984	11	15	5	5	1	3
15	101293143	101295096	1954	0	0	0	4	0	0
15	101293170	101295094	1925	0	0	0	0	6	0
15	101293171	101295096	1926	1	3	0	0	0	0
15	101293173	101295096	1924	123	107	93	73	58	44
