chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
11	93870	921413	827544	0	0	1	0	0	0
11	105492	644239	538748	0	1	0	0	0	0
11	125921	810312	684392	0	4	0	0	0	0
11	127934	1020856	892923	1	0	0	0	0	0
11	152181	768475	616295	0	0	0	0	0	1
11	181083	717879	536797	0	0	0	2	0	0
11	193605	811631	618027	0	0	2	0	0	0
11	200393	812534	612142	0	0	1	0	0	0
11	205476	1110740	905265	1	0	0	0	0	0
11	210682	809975	599294	34	5	42	28	13	13
11	212290	809975	597686	0	1	0	0	0	0
11	212943	733014	520072	3	0	0	0	0	0
11	216116	809975	593860	5	0	3	0	0	0
11	250112	811613	561502	0	0	1	0	0	0
11	253100	809976	556877	0	0	0	1	0	0
11	261848	1010654	748807	0	2	0	0	0	0
11	290618	811616	520999	5	0	0	0	0	0
11	292306	925892	633587	5	0	0	0	0	0
11	293750	764370	470621	3	0	0	0	0	0
11	294076	1010632	716557	0	0	0	0	1	0
11	298942	812537	513596	2	0	0	0	0	0
11	300073	810009	509937	0	0	0	0	8	0
11	338028	767221	429194	0	0	0	1	0	0
11	338029	767221	429193	0	0	0	1	0	0
11	338030	767221	429192	0	0	0	2	0	0
11	351552	809976	458425	1	0	0	0	0	2
11	356163	811620	455458	0	2	0	0	0	0
11	367588	809975	442388	1	8	5	4	0	2
11	370064	810271	440208	0	1	0	0	0	0
11	375287	809970	434684	0	0	4	0	0	0
11	380529	1010592	630064	0	0	0	0	0	1
11	386319	809975	423657	0	0	0	0	4	0
11	394293	812579	418287	0	0	0	0	1	0
11	395438	809982	414545	0	0	0	4	0	0
11	395483	812539	417057	0	0	1	0	0	0
11	411852	763795	351944	0	0	0	0	0	1
11	411853	1010651	598799	0	0	1	0	0	0
11	428333	812532	384200	0	0	0	0	0	3
11	428447	1352002	923556	0	0	0	2	0	0
11	429866	811616	381751	0	0	3	0	0	0
11	437060	811613	374554	5	0	0	0	0	0
11	452383	1010547	558165	0	3	0	0	0	0
11	454780	768644	313865	0	0	0	0	2	0
11	456179	775976	319798	0	0	0	2	0	0
11	459966	809976	350011	0	0	0	0	0	3
11	470514	810306	339793	4	3	0	0	0	0
11	470515	810306	339792	0	3	0	0	0	0
11	488477	810023	321547	0	0	1	0	0	0
11	489314	812534	323221	0	2	0	0	0	0
11	490427	810304	319878	0	0	2	0	0	0
11	494659	1451406	956748	0	1	0	0	0	0
11	494751	706083	211333	0	1	0	0	0	0
11	494925	724641	229717	0	0	2	0	0	0
11	497993	1181752	683760	0	0	1	0	0	0
11	510003	812538	302536	0	0	0	1	0	0
11	511355	811628	300274	0	0	2	0	3	0
11	511355	811629	300275	0	0	1	0	0	0
11	518782	810236	291455	2	0	0	0	0	0
11	532437	1123122	590686	3	0	0	0	0	0
11	532650	1218777	686128	0	0	1	0	0	0
11	532708	1455298	922591	0	0	0	0	0	1
11	532903	791212	258310	0	0	4	0	0	0
11	533513	1197560	664048	0	0	0	10	0	0
11	533604	1024383	490780	0	0	0	0	0	6
11	533900	911757	377858	0	2	0	0	0	0
11	534328	658801	124474	7	0	0	0	0	0
11	534336	707100	172765	2	0	0	0	0	0
11	534336	865641	331306	0	0	0	0	2	0
