locus	chrom	strand	transcript	gene_span_1based	zoom_window_1based	lsv_exons_1based
CLASRP	19	+	ENST00000221455	45039045-45070956	45067421-45068530	45067471-45067594;45068015-45068054;45068015-45068058;45068071-45068120;45068420-45068480
EIF3C	16	+	ENST00000331666	28711464-28735596	28714912-28723612	28715307-28715434;28720499-28721032;28723164-28723217
AKAP8	19	-	ENST00000269701	15353385-15379787	15368138-15370276	15368235-15368322;15369067-15369224;15370146-15370179
HRAS	11	-	ENST00000311189	532242-535576	532594-533660	532642-532755;533277-533353;533453-533612
PSMG4	6	+	ENST00000438998	3258947-3268049	3258624-3268215	3259060-3259196;3263684-3263759;3264209-3264325;3267591-3267779
SNHG29	17	+	ENST00000778444	16438985-16480249	16439348-16440296	16439391-16439414;16439660-16439703;16440185-16440253
CENPX	17	-	ENST00000392359	82018703-82022878	82019278-82019939	82019308-82019381;82019510-82019694;82019641-82019694;82019858-82019909
ENSG00000233461	1	-	ENST00000654602	231520729-231528604	231522220-231528755	231522517-231522637;231524426-231524547;231527338-231527415;231528420-231528458
TXNL4A	18	-	ENST00000269601	79970813-79988563	79972820-79989248	79973566-79973856;79976718-79976787;79977598-79977701;79986602-79986734;79988240-79988502
USF2	19	+	ENST00000222305	35268962-35279821	35269556-35270562	35269601-35269699;35269803-35270003;35270447-35270517
AKAP8L	19	-	ENST00000397410	15380050-15418988	15397630-15399494	15397714-15397855;15398630-15398703;15398630-15398766;15399302-15399410
SNRPA1	15	-	ENST00000254193	101281510-101295248	101285662-101287074	101285726-101285801;101286214-101286293;101286908-101287010
DEAF1	11	-	ENST00000382409	644233-695222	643808-654538	644295-644654;646285-646334;646327-646555;651162-651407;653962-654051
DDX39A	19	-	ENST00000242776	14408798-14419341	14410267-14411177	14410308-14410334;14410421-14410605;14410548-14410605;14410989-14411136
RPL8	8	-	ENST00000528957	144789769-144792390	144791246-144791945	144791277-144791307;144791371-144791495;144791850-144791914
TMEM208	16	+	ENST00000304800	67227130-67229278	67228478-67228853	67228495-67228657;67228518-67228631;67228797-67228836
NOP56	20	+	ENST00000329276	2652632-2658393	2655441-2656601	2655493-2655542;2655934-2656034;2656111-2656214;2656401-2656549
CASP2	7	+	ENST00000310447	143288351-143307696	143300018-143304119	143300204-143300294;143300380-143300440;143303784-143303933
SRSF3	6	+	ENST00000373715	36594362-36605600	36598732-36601307	36598849-36598983;36599821-36599845;36599821-36600276;36601152-36601190
TRA2B	3	-	ENST00000453386	185914558-185938014	185924838-185938613	185925464-185925626;185926727-185926734;185931577-185931618;185931577-185931852;185937825-185937987
FOXM1	12	-	ENST00000359843	2857680-2877174	2859238-2864745	2859488-2859663;2861299-2861412;2861379-2861428;2864320-2864495
SLC25A17	22	-	ENST00000435456	40769630-40819346	40794288-40799266	40794514-40794580;40797254-40797336;40797284-40797336;40799023-40799040
APLP2	11	+	ENST00000338167	130069894-130144805	130122079-130127056	130122305-130122513;130123612-130123779;130126700-130126830
STRN3	14	-	ENST00000357479	30893804-31026379	30918150-30936120	30918966-30919106;30929201-30929311;30935163-30935304
MADD	11	+	ENST00000706887	47270133-47330031	47284909-47285622	47284941-47285194;47284946-47285065;47285066-47285194;47285451-47285590
