contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit	psi_Hek_control_1	psi_Hek_control_2	psi_Hek_control_3	psi_CADM1_1nM-1	psi_CADM1_1nM-2	psi_CADM1_1nM-3	psi_CADM1_100nM-1	psi_CADM1_100nM-2	psi_CADM1_100nM-3	n_Hek_control_1	n_Hek_control_2	n_Hek_control_3	n_CADM1_1nM-1	n_CADM1_1nM-2	n_CADM1_1nM-3	n_CADM1_100nM-1	n_CADM1_100nM-2	n_CADM1_100nM-3
cadm1_dose	1	chr16:TNRC6A:s:24729846|16:24729846-24750725:+	TNRC6A	chr16:TNRC6A:s:24729846	s	24729846	16:24729846-24750725:+	16	24729846	24750725	+	132.1	0.208	0.239	0.531	0.323	0.3	0.1488	ols_slope	0.01125797220457314	0.7924020313288396	1	0	0.337	0.156	0.15	0.254	0.248	0.202	0.632	0.473	0.43	92	96	120	181	141	109	185	186	79
cadm1_dose	2	chr1:POLR3GL:s:145975436|1:145975436-145977083:+	POLR3GL	chr1:POLR3GL:s:145975436	s	145975436	1:145975436-145977083:+	1	145975436	145977083	+	122.0	0.611	0.713	0.823	0.212	0.137	0.1114	ols_slope	0.0256338459709797	0.7924020313288396	1	0	0.534	0.558	0.769	0.741	0.729	0.682	0.829	0.971	0.729	133	129	108	135	118	176	111	70	118
cadm1_dose	3	chrX:MECP2:s:154097603|X:154092307-154097603:-	MECP2	chrX:MECP2:s:154097603	s	154097603	X:154092307-154097603:-	X	154092307	154097603	-	160.3	0.484	0.625	0.681	0.198	0.232	0.0952	ols_slope	0.03454332501296797	0.7924020313288396	1	0	0.454	0.627	0.366	0.531	0.653	0.656	0.675	0.733	0.611	130	161	164	113	219	151	212	180	113
cadm1_dose	4	chr16:MRPL28:t:370225|16:370225-370498:-	MRPL28	chr16:MRPL28:t:370225	t	370225	16:370225-370498:-	16	370225	370498	-	103.7	0.525	0.745	0.716	0.191	0.107	0.085	ols_slope	0.08725658798053883	0.8098539820805224	0	0	0.558	0.581	0.461	0.643	0.753	0.878	0.736	0.674	0.7	52	160	165	112	77	82	159	46	80
cadm1_dose	5	chr7:SRRT:s:100885040|7:100885040-100885215:+	SRRT	chr7:SRRT:s:100885040	s	100885040	7:100885040-100885215:+	7	100885040	100885215	+	152.1	0.286	0.48	0.474	0.188	0.173	0.0939	ols_slope	0.02112173413500544	0.7924020313288396	0	0	0.273	0.32	0.256	0.404	0.558	0.491	0.426	0.461	0.525	121	181	160	141	120	114	136	219	177
cadm1_dose	6	chr3:UQCC5:t:52540423|3:52536906-52540423:+	UQCC5	chr3:UQCC5:t:52540423	t	52540423	3:52536906-52540423:+	3	52536906	52540423	+	115.6	0.47	0.538	0.65	0.18	0.162	0.0927	ols_slope	0.14225519701069625	0.8098539820805224	1	0	0.435	0.536	0.39	0.677	0.475	0.429	0.614	0.447	0.857	62	181	123	133	120	98	101	103	119
cadm1_dose	7	chr3:CNBP:t:129171538|3:129171538-129171654:-	CNBP	chr3:CNBP:t:129171538	t	129171538	3:129171538-129171654:-	3	129171538	129171654	-	135.4	0.612	0.636	0.791	0.179	0.167	0.0899	ols_slope	0.01778094989725975	0.7924020313288396	1	0	0.671	0.545	0.632	0.561	0.695	0.688	0.746	0.77	0.873	143	167	136	157	118	96	114	178	110
cadm1_dose	8	chr1:NASP:s:45606591|1:45606591-45613168:+	NASP	chr1:NASP:s:45606591	s	45606591	1:45606591-45613168:+	1	45606591	45613168	+	132.1	0.616	0.633	0.791	0.176	0.091	0.0853	ols_slope	0.13045762435927163	0.8098539820805224	1	0	0.654	0.537	0.676	0.411	0.79	0.643	0.753	0.801	0.825	133	147	105	90	119	140	166	146	143
cadm1_dose	9	chr1:RPL22:t:6197756|1:6197756-6199561:-	RPL22	chr1:RPL22:t:6197756	t	6197756	1:6197756-6199561:-	1	6197756	6199561	-	297.0	0.775	0.88	0.949	0.174	0.138	0.0868	ols_slope	0.01785680182230578	0.7924020313288396	1	0	0.92	0.686	0.728	0.861	0.883	0.896	0.953	0.975	0.926	311	331	323	267	324	260	212	280	365
cadm1_dose	10	chr11:SF1:s:64766899|11:64766155-64766899:-	SF1	chr11:SF1:s:64766899	s	64766899	11:64766155-64766899:-	11	64766155	64766899	-	148.6	0.26	0.504	0.424	0.165	0.106	0.0802	ols_slope	0.10330501958128241	0.8098539820805224	0	0	0.339	0.158	0.296	0.579	0.465	0.465	0.425	0.422	0.427	118	146	152	164	157	157	120	180	143
