contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit	psi_Hek_control_1	psi_Hek_control_2	psi_Hek_control_3	psi_CHX_dose_50ug_mL-1	psi_CHX_dose_50ug_mL-2	psi_CHX_dose_50ug_mL-3	n_Hek_control_1	n_Hek_control_2	n_Hek_control_3	n_CHX_dose_50ug_mL-1	n_CHX_dose_50ug_mL-2	n_CHX_dose_50ug_mL-3
chx_high	1	chr19:AKAP8L:s:15399301|19:15398766-15399301:-	AKAP8L	chr19:AKAP8L:s:15399301	s	15399301	19:15398766-15399301:-	19	15398766	15399301	-	101.8	0.321		0.781	0.459	0.487		welch	0.001434261106284105	0.09369707094572077	1	1	0.262	0.327	0.366	0.784	0.806	0.763	65	49	82	139	103	173
chx_high	2	chr19:CLASRP:t:45068419|19:45068058-45068419:+	CLASRP	chr19:CLASRP:t:45068419	t	45068419	19:45068058-45068419:+	19	45068058	45068419	+	339.3	0.249		0.706	0.456	0.47		welch	0.00025424971917843573	0.024746972666701075	1	1	0.284	0.282	0.205	0.71	0.758	0.667	176	202	292	472	360	534
chx_high	3	chr16:EIF3C:t:28723163|16:28721032-28723163:+	EIF3C	chr16:EIF3C:t:28723163	t	28723163	16:28721032-28723163:+	16	28721032	28723163	+	240.5	0.084		0.477	0.394	0.402		welch	0.0016044018997554905	0.09369707094572077	1	1	0.026	0.14	0.091	0.448	0.421	0.544	271	242	287	154	228	261
chx_high	4	chr15:SNRPA1:t:101285801|15:101285801-101286907:-	SNRPA1	chr15:SNRPA1:t:101285801	t	101285801	15:101285801-101286907:-	15	101285801	101286907	-	263.0	0.036		0.205	0.168	0.174		welch	8.480654687680651e-05	0.016509007792018335	1	1	0.022	0.039	0.045	0.189	0.208	0.215	225	307	264	264	178	340
chx_high	5	chr11:DEAF1:t:644654|11:644654-646326:-	DEAF1	chr11:DEAF1:t:644654	t	644654	11:644654-646326:-	11	644654	646326	-	225.0	0.067		0.219	0.152	0.118		welch	1.5496341617931743e-05	0.009049863504872137	1	1	0.062	0.075	0.063	0.229	0.214	0.218	208	348	365	96	154	179
chx_high	6	chr19:DDX39A:t:14410334|19:14410334-14410547:-	DDX39A	chr19:DDX39A:t:14410334	t	14410334	19:14410334-14410547:-	19	14410334	14410547	-	261.8	0.014		0.16	0.147	0.155		welch	0.00022614953129807976	0.024746972666701075	1	1	0.025	0.0	0.023	0.168	0.148	0.162	239	413	301	184	169	265
chx_high	7	chr8:RPL8:t:144791307|8:144791307-144791849:-	RPL8	chr8:RPL8:t:144791307	t	144791307	8:144791307-144791849:-	8	144791307	144791849	-	236.2	0.077		0.438	0.361	0.316		welch	0.0991571205252229	0.4094519542037817	1	0	0.108	0.053	0.085	0.276	0.316	0.633	260	492	519	29	57	60
chx_high	8	chr16:TMEM208:t:67228796|16:67228657-67228796:+	TMEM208	chr16:TMEM208:t:67228796	t	67228796	16:67228657-67228796:+	16	67228657	67228796	+	107.7	0.047		0.393	0.346	0.345		welch	0.16302512470761235	0.4830374393167784	1	0	0.034	0.103	0.027	0.216	0.206	0.624	116	78	149	102	68	133
chx_high	9	chr19:AKAP8:t:15368322|19:15368322-15369066:-	AKAP8	chr19:AKAP8:t:15368322	t	15368322	19:15368322-15369066:-	19	15368322	15369066	-	116.2	0.054		0.399	0.345	0.352		welch	0.006471603845421064	0.13579217745189653	1	0	0.091	0.023	0.06	0.329	0.471	0.375	99	131	84	85	138	160
chx_high	10	chr20:NOP56:t:2656400|20:2656034-2656400:+	NOP56	chr20:NOP56:t:2656400	t	2656400	20:2656034-2656400:+	20	2656034	2656400	+	126.3	0.28		0.622	0.342	0.426		welch	0.01172417840222477	0.15561182242952876	1	0	0.198	0.368	0.257	0.62	0.721	0.518	126	152	144	100	122	114
chx_high		chr1:PABPC4:t:39570002|1:39570002-39571096:-	PABPC4	chr1:PABPC4:t:39570002	t	39570002	1:39570002-39571096:-	1	39570002	39571096	-	180.2	0.266		0.585	0.319	0.348		welch	0.0596864144777094	0.3112220183480562	1	0	0.299	0.423	0.095	0.525	0.765	0.518	127	215	221	160	136	222
chx_high		chr7:SRRT:t:100884069|7:100883090-100884069:+	SRRT	chr7:SRRT:t:100884069	t	100884069	7:100883090-100884069:+	7	100883090	100884069	+	172.5	0.075		0.387	0.313	0.358		welch	0.10376522127082136	0.4094519542037817	1	0	0.056	0.092	0.07	0.163	0.452	0.5	215	292	257	80	73	118
chx_high		chr19:AKAP8:s:15370145|19:15369224-15370145:-	AKAP8	chr19:AKAP8:s:15370145	s	15370145	19:15369224-15370145:-	19	15369224	15370145	-	104.7	0.007		0.301	0.294	0.227		welch	0.038583386423824764	0.2652407029512198	1	0	0.0	0.0	0.025	0.186	0.387	0.286	90	128	81	70	119	140
chx_high		chr17:AARSD1:s:42954875|17:42951894-42954875:-	AARSD1	chr17:AARSD1:s:42954875	s	42954875	17:42951894-42954875:-	17	42951894	42954875	-	117.3	0.346		0.626	0.28	0.269		welch	0.04297975237497722	0.2728279933368119	1	0	0.21	0.425	0.412	0.567	0.667	0.638	62	40	80	141	138	243
chx_high		chr11:HRAS:t:532755|11:532755-533276:-	HRAS	chr11:HRAS:t:532755	t	532755	11:532755-533276:-	11	532755	533276	-	449.7	0.084		0.361	0.277	0.272		welch	0.03938619457336965	0.2652407029512198	1	0	0.095	0.08	0.08	0.427	0.244	0.379	465	609	821	281	205	317
chx_high		chr6:PSMG4:t:3267590|6:3264325-3267590:+	PSMG4	chr6:PSMG4:t:3267590	t	3267590	6:3264325-3267590:+	6	3264325	3267590	+	264.8	0.157		0.431	0.273	0.229		welch	0.016304185017306357	0.19836758437722735	1	0	0.171	0.161	0.141	0.351	0.44	0.482	321	316	362	185	150	255
chx_high		chr9:CDKN2A:t:21971208|9:21971208-21974677:-	CDKN2A	chr9:CDKN2A:t:21971208	t	21971208	9:21971208-21974677:-	9	21971208	21974677	-	134.5	0.414		0.682	0.268	0.2		welch	0.2057127051457329	0.5140263429281569	0	0	0.513	0.386	0.345	0.421	0.919	0.684	187	251	171	57	62	79
chx_high		chr17:NARF:t:82483715|17:82483304-82483715:+	NARF	chr17:NARF:t:82483715	t	82483715	17:82483304-82483715:+	17	82483304	82483715	+	100.5	0.169		0.437	0.267	0.231		welch	0.008835792368445316	0.13579217745189653	1	0	0.254	0.154	0.119	0.475	0.388	0.447	118	104	168	61	67	85
chx_high		chr1:CDK11B:t:1642508|1:1642508-1649498:-	CDK11B	chr1:CDK11B:t:1642508	t	1642508	1:1642508-1649498:-	1	1642508	1649498	-	193.2	0.349		0.61	0.261	0.317		welch	0.036542933776199854	0.26025699177196	1	0	0.365	0.335	0.35	0.654	0.682	0.508	137	167	140	243	214	258
chx_high		chr1:RPS27:t:153991114|1:153991034-153991114:+	RPS27	chr1:RPS27:t:153991114	t	153991114	1:153991034-153991114:+	1	153991034	153991114	+	185.7	0.112		0.372	0.261	0.201		welch	0.08481735086072745	0.39117825978762166	1	0	0.083	0.139	0.1	0.378	0.207	0.483	240	345	231	98	82	118
chx_high		chr17:SNHG29:t:16440184|17:16439703-16440184:+	SNHG29	chr17:SNHG29:t:16440184	t	16440184	17:16439703-16440184:+	17	16439703	16440184	+	208.0	0.08		0.326	0.247	0.202		welch	0.020135097945568416	0.21458957830714925	1	0	0.138	0.053	0.064	0.324	0.419	0.25	224	283	358	102	129	152
chx_high		chr7:HOXA10:t:27172173|7:27172173-27179645:-	HOXA10	chr7:HOXA10:t:27172173	t	27172173	7:27172173-27179645:-	7	27172173	27179645	-	121.7	0.389		0.635	0.247	0.187		welch	0.045590391685032906	0.28026093414799175	1	0	0.314	0.395	0.482	0.521	0.746	0.648	185	129	139	73	59	145
chx_high		chr17:CENPX:t:82019381|17:82019381-82019640:-	CENPX	chr17:CENPX:t:82019381	t	82019381	17:82019381-82019640:-	17	82019381	82019640	-	117.2	0.284		0.523	0.239	0.122		welch	0.008471651301187657	0.13579217745189653	1	0	0.342	0.305	0.229	0.462	0.58	0.525	114	210	205	65	69	40
chx_high		chr8:EEF1D:t:143586852|8:143586852-143588990:-	EEF1D	chr8:EEF1D:t:143586852	t	143586852	8:143586852-143588990:-	8	143586852	143588990	-	109.5	0.293		0.523	0.23	0.236		welch	0.03276671038716645	0.25178630086980536	1	0	0.179	0.362	0.319	0.569	0.522	0.467	156	210	119	58	69	45
chx_high		chr19:USF2:s:35269699|19:35269699-35269802:+	USF2	chr19:USF2:s:35269699	s	35269699	19:35269699-35269802:+	19	35269699	35269802	+	110.0	0.324		0.549	0.225	0.242		welch	0.1727623773467959	0.48706062555519536	0	0	0.38	0.294	0.315	0.76	0.721	0.338	129	180	178	25	68	80
chx_high		chr21:NDUFV3:t:42908863|21:42904276-42908863:+	NDUFV3	chr21:NDUFV3:t:42908863	t	42908863	21:42904276-42908863:+	21	42904276	42908863	+	181.2	0.281		0.505	0.224	0.211		welch	0.05825256304878948	0.3110871368250878	1	0	0.164	0.364	0.287	0.429	0.612	0.436	165	214	247	133	188	140
chx_high		chr13:POLR1D:s:27622009|13:27622009-27648378:+	POLR1D	chr13:POLR1D:s:27622009	s	27622009	13:27622009-27648378:+	13	27622009	27648378	+	166.5	0.153		0.378	0.224	0.201		welch	0.2605331717470751	0.5679001118957052	0	0	0.211	0.129	0.131	0.153	0.349	0.677	228	271	283	72	83	62
chx_high		chr1:ENSG00000233461:t:231522637|1:231522637-231527337:-	ENSG00000233461	chr1:ENSG00000233461:t:231522637	t	231522637	1:231522637-231527337:-	1	231522637	231527337	-	166.5	0.524		0.746	0.222	0.158		welch	0.03615773698974329	0.26025699177196	1	0	0.612	0.523	0.437	0.779	0.718	0.747	129	216	126	154	188	186
chx_high		chr18:TXNL4A:t:79973856|18:79973856-79977597:-	TXNL4A	chr18:TXNL4A:t:79973856	t	79973856	18:79973856-79977597:-	18	79973856	79977597	-	205.7	0.549		0.769	0.221	0.207		welch	0.00620016558710863	0.13579217745189653	1	0	0.544	0.495	0.602	0.775	0.719	0.82	287	289	324	120	114	100
chx_high		chr19:USF2:t:35270446|19:35270003-35270446:+	USF2	chr19:USF2:t:35270446	t	35270446	19:35270003-35270446:+	19	35270003	35270446	+	164.3	0.536		0.753	0.217	0.192		welch	0.023071550688233643	0.21731912261174915	1	0	0.595	0.54	0.485	0.846	0.821	0.68	185	274	235	39	106	147
chx_high		chr17:MYBBP1A:t:4545175|17:4545175-4545266:-	MYBBP1A	chr17:MYBBP1A:t:4545175	t	4545175	17:4545175-4545266:-	17	4545175	4545266	-	408.0	0.021		0.234	0.214	0.202		welch	0.0083145227840312	0.13579217745189653	1	0	0.032	0.005	0.026	0.217	0.201	0.284	340	428	494	360	417	409
chx_high		chr17:AARSD1:t:42951894|17:42951894-42954875:-	AARSD1	chr17:AARSD1:t:42951894	t	42951894	17:42951894-42954875:-	17	42951894	42954875	-	221.0	0.149		0.362	0.213	0.209		welch	0.020209634943310288	0.21458957830714925	1	0	0.091	0.148	0.2	0.287	0.345	0.434	143	115	165	279	267	357
chx_high		chr17:NT5C:t:75130867|17:75130867-75130964:-	NT5C	chr17:NT5C:t:75130867	t	75130867	17:75130867-75130964:-	17	75130867	75130964	-	224.8	0.144		0.355	0.211	0.191		welch	0.031032238252694508	0.24320489891562488	1	0	0.14	0.248	0.093	0.344	0.407	0.341	186	157	302	195	140	369
chx_high		chr3:TRA2B:s:185937824|3:185931852-185937824:-	TRA2B	chr3:TRA2B:s:185937824	s	185937824	3:185931852-185937824:-	3	185931852	185937824	-	165.7	0.384		0.594	0.21	0.194		welch	0.09918861088868847	0.4094519542037817	1	0	0.307	0.396	0.415	0.696	0.432	0.671	114	285	176	125	148	146
chx_high		chr6:MRPL18:t:159790939|6:159790639-159790939:+	MRPL18	chr6:MRPL18:t:159790939	t	159790939	6:159790639-159790939:+	6	159790639	159790939	+	121.0	0.688		0.883	0.196	0.202		welch	0.04547827375343676	0.28026093414799175	1	0	0.66	0.704	0.683	0.985	0.841	0.835	106	226	180	66	69	79
chx_high		chr5:ATG12:t:115837764|5:115837764-115840496:-	ATG12	chr5:ATG12:t:115837764	t	115837764	5:115837764-115840496:-	5	115837764	115840496	-	106.2	0.048		0.245	0.196	0.203		welch	0.11623403852576528	0.42642979452418506	1	0	0.0	0.065	0.071	0.136	0.348	0.159	96	170	85	66	138	82
