locus	dir	source	contrast	lsv	junction	top	pseudobulk:control	pseudobulk:control:share	pseudobulk:chx_low	pseudobulk:chx_low:share	pseudobulk:chx_high	pseudobulk:chx_high:share	replicates:control_1	replicates:control_1:share	replicates:control_2	replicates:control_2:share	replicates:control_3	replicates:control_3:share	replicates:chx_high_1	replicates:chx_high_1:share	replicates:chx_high_2	replicates:chx_high_2:share	replicates:chx_high_3	replicates:chx_high_3:share	ris_pseudobulk:control	ris_pseudobulk:control:share	ris_pseudobulk:ris_low	ris_pseudobulk:ris_low:share	ris_replicates:control_1	ris_replicates:control_1:share	ris_replicates:control_2	ris_replicates:control_2:share	ris_replicates:control_3	ris_replicates:control_3:share	ris_replicates:ris_low_1	ris_replicates:ris_low_1:share	ris_replicates:ris_low_2	ris_replicates:ris_low_2:share	ris_replicates:ris_low_3	ris_replicates:ris_low_3:share
CLASRP	CLASRP_chx_dh	screen_splicing	chx_dose;chx_high	chr19:CLASRP:t:45068419	19:45067594-45068419:+	0	3	0.007	0	0.0	16	0.012	3	0.023	0	0.0	0	0.0	0	0.0	4	0.012	10	0.023																
CLASRP	CLASRP_chx_dh	screen_splicing	chx_dose;chx_high	chr19:CLASRP:t:45068419	19:45068054-45068419:+	0	331	0.731	342	0.563	372	0.276	96	0.722	87	0.737	116	0.73	137	0.291	73	0.227	122	0.278																
CLASRP	CLASRP_chx_dh	screen_splicing	chx_dose;chx_high	chr19:CLASRP:t:45068419	19:45068058-45068419:+	1	116	0.256	259	0.427	947	0.703	34	0.256	31	0.263	40	0.252	334	0.709	245	0.761	296	0.674																
CLASRP	CLASRP_chx_dh	screen_splicing	chx_dose;chx_high	chr19:CLASRP:t:45068419	19:45068120-45068419:+	0	3	0.007	6	0.01	12	0.009	0	0.0	0	0.0	3	0.019	0	0.0	0	0.0	11	0.025																
EIF3C	EIF3C_chx_dh	screen_splicing	chx_dose;chx_high	chr16:EIF3C:t:28723163	16:28715434-28723163:+	0	491	0.909	588	0.923	327	0.519	205	0.972	115	0.852	148	0.902	85	0.552	118	0.567	95	0.452																
EIF3C	EIF3C_chx_dh	screen_splicing	chx_dose;chx_high	chr16:EIF3C:t:28723163	16:28721032-28723163:+	1	49	0.091	49	0.077	303	0.481	6	0.028	20	0.148	16	0.098	69	0.448	90	0.433	115	0.548																
AKAP8	AKAP8_chx_dh	screen_splicing	chx_dose;chx_high	chr19:AKAP8:t:15368322	19:15368322-15369066:-	1	10	0.046	70	0.234	144	0.395	7	0.097	2	0.028	3	0.054	28	0.341	59	0.484	40	0.317																
AKAP8	AKAP8_chx_dh	screen_splicing	chx_dose;chx_high	chr19:AKAP8:t:15368322	19:15368322-15370145:-	0	206	0.954	229	0.766	221	0.605	65	0.903	69	0.972	53	0.946	54	0.659	63	0.516	86	0.683																
HRAS	HRAS_chx_d	screen_splicing	chx_dose	chr11:HRAS:t:532755	11:532755-533276:-	1	118	0.093	225	0.295	289	0.366	32	0.087	24	0.074	40	0.084	120	0.435	46	0.25	109	0.381																
HRAS	HRAS_chx_d	screen_splicing	chx_dose	chr11:HRAS:t:532755	11:532755-533452:-	0	1149	0.907	539	0.705	500	0.634	335	0.913	301	0.926	437	0.916	156	0.565	138	0.75	177	0.619																
PSMG4	PSMG4_chx_d	screen_splicing	chx_dose	chr6:PSMG4:t:3267590	6:3259196-3267590:+	0	12	0.018	3	0.004	4	0.007	8	0.032	3	0.018	3	0.014	3	0.017	1	0.007	0	0.0																
PSMG4	PSMG4_chx_d	screen_splicing	chx_dose	chr6:PSMG4:t:3267590	6:3263759-3267590:+	0	550	0.823	541	0.681	322	0.558	196	0.775	133	0.782	177	0.851	110	0.618	76	0.567	107	0.519																
PSMG4	PSMG4_chx_d	screen_splicing	chx_dose	chr6:PSMG4:t:3267590	6:3264325-3267590:+	1	106	0.159	251	0.316	251	0.435	49	0.194	34	0.2	28	0.135	65	0.365	57	0.425	99	0.481																
