chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
17	81135858	82099828	963971	8	0	0	0	0	0
17	81190651	82035285	844635	0	0	1	0	0	0
17	81191350	82056661	865312	0	0	0	0	0	3
17	81191979	82033732	841754	0	0	0	0	0	3
17	81226954	82035881	808928	0	1	0	0	0	0
17	81282541	82056637	774097	0	1	0	0	0	0
17	81308324	82057391	749068	0	0	0	1	0	0
17	81336061	82033956	697896	0	0	0	0	0	1
17	81392307	82029547	637241	2	0	0	0	0	0
17	81393690	82057063	663374	0	1	0	0	0	0
17	81430950	82030099	599150	0	0	2	0	0	0
17	81437900	82029443	591544	0	0	0	0	0	3
17	81446553	82078337	631785	0	0	0	0	0	1
17	81458176	82032132	573957	3	0	0	0	0	0
17	81458343	82439738	981396	0	0	0	0	0	1
17	81458344	82439738	981395	0	0	0	0	0	1
17	81494613	82056952	562340	2	0	0	0	0	0
17	81510063	82108471	598409	0	5	0	0	0	0
17	81510969	82371709	860741	0	0	2	0	0	0
17	81511109	82078111	567003	0	0	0	1	2	0
17	81511109	82386962	875854	0	2	0	0	0	0
17	81511109	82495387	984279	0	0	0	0	0	1
17	81511375	82188171	676797	0	0	0	0	0	3
17	81511624	82122788	611165	0	0	3	0	0	0
17	81512113	82163898	651786	0	0	0	1	0	0
17	81512795	82304106	791312	0	0	1	0	0	0
17	81512795	82397535	884741	0	4	0	0	0	0
17	81528438	82058115	529678	0	0	0	0	0	1
17	81550995	82391340	840346	0	0	1	0	0	0
17	81558248	82022258	464011	0	0	1	0	0	0
17	81559158	82418291	859134	0	0	0	8	0	0
17	81559224	82028561	469338	4	0	0	0	0	0
17	81578015	82409079	831065	0	0	0	1	0	0
17	81610777	82521754	910978	1	0	0	0	0	0
17	81649777	82035881	386105	0	1	0	0	0	0
17	81665264	82066086	400823	0	0	0	0	2	0
17	81665316	82271937	606622	0	0	0	6	0	0
17	81665328	82385543	720216	0	0	0	2	0	0
17	81665390	82032548	367159	0	0	0	4	0	0
17	81665462	82230317	564856	2	0	0	0	0	0
17	81665480	82077540	412061	0	0	0	0	0	11
17	81665481	82627400	961920	0	0	0	0	1	0
17	81673366	82125357	451992	0	0	5	0	0	0
17	81681542	82559657	878116	0	0	0	0	3	0
17	81681719	82432228	750510	4	0	0	0	0	0
17	81696970	82019141	322172	0	0	2	0	0	0
17	81704318	82323005	618688	1	0	0	0	0	0
17	81705412	82641947	936536	0	0	0	0	0	1
17	81707222	82648270	941049	0	0	1	0	0	0
17	81707506	82437897	730392	0	0	2	0	0	0
17	81707514	82379428	671915	1	0	0	1	0	0
17	81707519	82619561	912043	2	0	0	0	0	0
17	81707521	82379440	671920	1	0	0	0	0	0
17	81707521	82379442	671922	1	0	0	0	0	0
17	81721006	82653396	932391	1	0	0	0	0	0
17	81721008	82653398	932391	0	1	0	0	0	0
17	81721011	82379430	658420	0	0	0	1	0	0
17	81741971	82472615	730645	0	0	0	1	0	0
17	81824312	82204022	379711	0	3	0	0	0	0
17	81838880	82032804	193925	1	0	0	0	0	0
17	81843420	82037286	193867	0	1	0	0	0	0
17	81843476	82815369	971894	0	1	0	0	0	0
17	81843619	82078108	234490	0	0	0	2	0	0
17	81844066	82503552	659487	0	0	1	0	0	0
17	81845627	82639482	793856	0	1	0	0	0	0
17	81845704	82216650	370947	0	3	0	0	0	0
17	81845893	82809899	964007	0	0	1	0	0	0
17	81845899	82120717	274819	0	0	0	0	0	2
17	81845943	82235682	389740	0	0	0	0	1	0
17	81857805	82105465	247661	0	0	3	0	0	0
17	81859313	82621861	762549	5	0	0	0	0	0
17	81867851	82354191	486341	0	4	0	0	0	0
17	81867920	82117166	249247	0	1	0	0	0	0
17	81868019	82099718	231700	7	0	0	0	0	0
17	81868019	82773379	905361	0	4	0	0	0	0
17	81868022	82416461	548440	0	0	0	0	0	10
17	81868104	82573284	705181	0	0	0	0	1	0
17	81868563	82128847	260285	0	0	4	0	0	0
17	81868767	82860274	991508	0	2	0	0	0	0
17	81869781	82855982	986202	0	0	0	0	0	10
17	81869880	82231024	361145	2	0	0	0	0	0
17	81871336	82829306	957971	0	0	0	0	2	0
17	81871363	82019938	148576	0	0	1	0	0	0
17	81873570	82679633	806064	2	0	0	0	0	0
17	81886102	82188115	302014	0	0	0	1	0	0
17	81887929	82078103	190175	0	1	0	0	0	0
17	81888146	82497154	609009	0	0	2	0	0	0
17	81888274	82807771	919498	0	0	3	0	0	0
17	81888344	82092479	204136	0	0	1	0	0	0
17	81888537	82105565	217029	0	0	3	0	0	0
17	81888580	82190985	302406	0	0	0	0	3	0
17	81900256	82379436	479181	0	0	0	0	0	1
17	81912615	82405265	492651	0	0	0	11	0	0
17	81913836	82892031	978196	0	0	0	0	2	0
17	81917890	82244557	326668	0	0	0	0	0	1
17	81920976	82121318	200343	0	0	3	0	0	0
17	81930736	82379430	448695	0	0	0	0	1	0
17	81930757	82661893	731137	0	0	1	0	0	0
17	81932698	82246337	313640	0	0	0	0	1	0
17	81935126	82231218	296093	0	0	0	0	0	1
17	81935464	82496189	560726	0	0	0	0	3	0
17	81937283	82019948	82666	0	0	0	0	8	0
17	81937293	82892015	954723	0	0	0	0	4	0
17	81958807	82060023	101217	0	0	0	0	8	0
17	81960604	82483772	523169	5	0	0	0	0	0
17	81967394	82472616	505223	0	0	0	1	0	0
17	81967769	82480822	513054	0	0	0	0	0	1
17	81967769	82546966	579198	2	0	0	0	0	0
17	81983697	82427043	443347	0	3	0	0	0	0
17	82012716	82018993	6278	1	0	0	0	0	0
17	82017402	82379428	362027	0	0	1	0	0	0
17	82018874	82018990	117	0	1	0	0	0	0
17	82018911	82018995	85	0	1	0	0	0	0
17	82018978	82019171	194	0	2	0	0	0	0
17	82018998	82220094	201097	0	0	0	3	0	0
17	82019115	82673921	654807	0	0	2	0	0	0
17	82019141	82383414	364274	0	2	0	0	0	0
17	82019152	82019857	706	0	0	7	0	0	0
17	82019203	82019291	89	0	0	0	0	0	6
17	82019205	82019292	88	0	3	8	0	0	0
17	82019220	82019292	73	140	179	195	89	106	57
17	82019220	82019307	88	8	12	25	8	1	11
17	82019379	82019857	479	0	0	0	3	5	4
17	82019382	82019509	128	8	2	12	4	0	0
17	82019382	82019640	259	32	34	21	30	38	18
17	82019382	82019641	260	0	0	4	0	0	0
17	82019382	82019857	476	52	77	77	31	27	18
17	82019382	82022825	3444	0	0	0	1	0	0
17	82019695	82019857	163	14	31	23	19	34	12
17	82019907	82022825	2919	0	1	0	0	0	0
17	82019910	82022638	2729	3	1	2	4	5	4
17	82019910	82022825	2916	68	58	86	25	42	27
17	82020790	82959965	939176	0	0	0	0	0	4
17	82021821	82214041	192221	0	4	0	0	0	0
